Metric,SNR_dB,Noisy,mband_py_log_avr1,mband_py_log_causal_ogw_avr1
PESQ,-5,1.0658,1.111,
PESQ,0,1.0937,1.2276,
PESQ,5,1.1733,1.4379,
PESQ,10,1.3446,1.7423,
PESQ,15,1.6468,2.1362,
SI_SDR,-5,-4.9899,-0.7242,
SI_SDR,0,-0.0263,4.4491,
SI_SDR,5,4.9955,8.4766,
SI_SDR,10,9.9991,11.2924,
SI_SDR,15,14.9989,13.6192,
STOI,-5,0.5866,0.5903,
STOI,0,0.6549,0.6598,
STOI,5,0.7153,0.7243,
STOI,10,0.774,0.7725,
STOI,15,0.8137,0.8125,
DNSMOS_p808_mos,-5,2.4363,2.5863,
DNSMOS_p808_mos,0,2.5694,2.7083,
DNSMOS_p808_mos,5,2.7331,2.8057,
DNSMOS_p808_mos,10,2.9111,2.9424,
DNSMOS_p808_mos,15,3.0481,3.0382,
DNSMOS_mos_sig,-5,3.5517,3.7267,
DNSMOS_mos_sig,0,3.8877,3.762,
DNSMOS_mos_sig,5,3.9827,3.6878,
DNSMOS_mos_sig,10,4.0784,3.8408,
DNSMOS_mos_sig,15,4.0454,3.9912,
DNSMOS_mos_bak,-5,1.6733,2.2131,
DNSMOS_mos_bak,0,1.903,2.3912,
DNSMOS_mos_bak,5,2.1026,2.5283,
DNSMOS_mos_bak,10,2.3277,2.7483,
DNSMOS_mos_bak,15,2.518,3.0619,
DNSMOS_mos_ovr,-5,1.9706,2.4022,
DNSMOS_mos_ovr,0,2.2631,2.5097,
DNSMOS_mos_ovr,5,2.4361,2.5373,
DNSMOS_mos_ovr,10,2.6382,2.7283,
DNSMOS_mos_ovr,15,2.7482,3.0043,
