SNR_dB,Best_Obj_Config,Best_Obj_Freq,Best_Obj_Nband,Best_Obj_FRMSZ,Best_Obj_OVLP,Best_Obj_Floor,Best_Obj_Score,Best_Obj_PESQ,Best_Obj_STOI,Best_Obj_SI_SDR,Best_Subj_Config,Best_Subj_Freq,Best_Subj_Nband,Best_Subj_FRMSZ,Best_Subj_OVLP,Best_Subj_Floor,Best_Subj_Score,Best_Subj_DNSMOS,Same_Config
-5,mband_log_N8_F20_O50_FL0p02,log,8,20,50,0.02,0.4195922141604953,1.2210519313812256,0.6050182183583578,-0.5318449338277181,mband_log_N8_F25_O50_FL0p2,log,8,25,50,0.2,0.5470044648867926,2.735022324433963,False
0,mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,0.47456646415922377,1.3440594673156738,0.670853853225708,5.606951634089152,mband_log_N8_F25_O50_FL0p2,log,8,25,50,0.2,0.5834868785084143,2.917434392542072,False
5,mband_mel_N8_F25_O75_FL0p001,mel,8,25,75,0.001,0.5385745629999373,1.5792423486709595,0.74238520860672,9.904975573221842,mband_log_N8_F25_O25_FL0p2,log,8,25,25,0.2,0.6363228745557061,3.181614372778531,False
10,mband_log_N8_F20_O75_FL0p001,log,8,20,75,0.001,0.6172673466470506,2.029885888099671,0.7902792692184448,12.979177792867025,mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,0.6922781662369738,3.4613908311848696,False
15,mband_mel_N16_F25_O75_FL0p001,mel,16,25,75,0.001,0.6952633142471313,2.528661568959554,0.8221220175425211,15.556196212768555,mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,0.7478285297202065,3.739142648601032,False
