Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N4_F25_O25_FL0p2,linear,4,25,25,0.2,1,0.494,0.5779,0.5359,1.3776,0.7227,5.5515,2.8896
mband_linear_N4_F25_O50_FL0p001,linear,4,25,50,0.001,1,0.5366,0.5731,0.5548,1.6582,0.7248,8.0459,2.8653
mband_linear_N4_F25_O50_FL0p02,linear,4,25,50,0.02,1,0.5323,0.5798,0.556,1.6341,0.7241,7.6921,2.8989
mband_linear_N4_F25_O50_FL0p2,linear,4,25,50,0.2,1,0.5125,0.5928,0.5526,1.4796,0.7288,6.8923,2.9639
mband_linear_N4_F25_O75_FL0p001,linear,4,25,75,0.001,1,0.5358,0.5203,0.5281,1.64,0.7254,8.4168,2.6016
mband_linear_N4_F25_O75_FL0p02,linear,4,25,75,0.02,1,0.5353,0.5456,0.5404,1.6374,0.7239,8.4966,2.7278
mband_linear_N4_F25_O75_FL0p2,linear,4,25,75,0.2,1,0.516,0.5572,0.5366,1.4917,0.728,7.5696,2.786
mband_linear_N4_F8_O25_FL0p001,linear,4,8,25,0.001,1,0.5115,0.5092,0.5104,1.4882,0.7158,7.4505,2.5462
mband_linear_N4_F8_O25_FL0p02,linear,4,8,25,0.02,1,0.5114,0.5144,0.5129,1.494,0.7139,7.3973,2.5718
mband_linear_N4_F8_O25_FL0p2,linear,4,8,25,0.2,1,0.5047,0.553,0.5289,1.4278,0.7235,6.9008,2.7651
mband_linear_N4_F8_O50_FL0p001,linear,4,8,50,0.001,1,0.5215,0.5049,0.5132,1.5648,0.7131,7.9344,2.5244
mband_linear_N4_F8_O50_FL0p02,linear,4,8,50,0.02,1,0.5239,0.4881,0.506,1.5697,0.719,7.9566,2.4403
mband_linear_N4_F8_O50_FL0p2,linear,4,8,50,0.2,1,0.5102,0.5291,0.5197,1.4657,0.7228,7.2557,2.6457
mband_linear_N4_F8_O75_FL0p001,linear,4,8,75,0.001,1,0.517,0.4791,0.498,1.5325,0.7147,7.619,2.3953
mband_linear_N4_F8_O75_FL0p02,linear,4,8,75,0.02,1,0.515,0.4804,0.4977,1.511,0.7125,7.9789,2.4019
mband_linear_N4_F8_O75_FL0p2,linear,4,8,75,0.2,1,0.5128,0.5308,0.5218,1.4778,0.7261,7.2778,2.6539
