config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_linear_N4_F8_O50_FL0p2,69.32115507125854,hybrid,linear,4,8,50,1,0.2,1,1
mband_linear_N4_F8_O50_FL0p6,39.49344873428345,hybrid,linear,4,8,50,1,0.6,1,1
mband_linear_N4_F8_O50_FL0p2,35.64719891548157,hybrid,linear,4,8,50,2,0.2,1,1
mband_linear_N4_F8_O50_FL0p6,42.21662902832031,hybrid,linear,4,8,50,2,0.6,1,1
mband_linear_N4_F8_O75_FL0p2,51.89657664299011,hybrid,linear,4,8,75,1,0.2,1,1
mband_linear_N4_F8_O75_FL0p6,55.99751281738281,hybrid,linear,4,8,75,1,0.6,1,1
mband_linear_N4_F8_O75_FL0p2,54.10809254646301,hybrid,linear,4,8,75,2,0.2,1,1
mband_linear_N4_F8_O75_FL0p6,54.85216236114502,hybrid,linear,4,8,75,2,0.6,1,1
mband_linear_N4_F20_O50_FL0p2,32.37977695465088,hybrid,linear,4,20,50,1,0.2,1,1
mband_linear_N4_F20_O50_FL0p6,30.799249410629272,hybrid,linear,4,20,50,1,0.6,1,1
mband_linear_N4_F20_O50_FL0p2,30.258012533187866,hybrid,linear,4,20,50,2,0.2,1,1
mband_linear_N4_F20_O50_FL0p6,31.579286813735962,hybrid,linear,4,20,50,2,0.6,1,1
mband_linear_N4_F20_O75_FL0p2,37.00344276428223,hybrid,linear,4,20,75,1,0.2,1,1
mband_linear_N4_F20_O75_FL0p6,40.95320105552673,hybrid,linear,4,20,75,1,0.6,1,1
mband_linear_N4_F20_O75_FL0p2,33.69641995429993,hybrid,linear,4,20,75,2,0.2,1,1
mband_linear_N4_F20_O75_FL0p6,40.86562514305115,hybrid,linear,4,20,75,2,0.6,1,1
mband_linear_N8_F8_O50_FL0p2,43.317418336868286,hybrid,linear,8,8,50,1,0.2,1,1
mband_linear_N8_F8_O50_FL0p6,40.51766014099121,hybrid,linear,8,8,50,1,0.6,1,1
mband_linear_N8_F8_O50_FL0p2,47.1048059463501,hybrid,linear,8,8,50,2,0.2,1,1
mband_linear_N8_F8_O50_FL0p6,40.42932415008545,hybrid,linear,8,8,50,2,0.6,1,1
mband_linear_N8_F8_O75_FL0p2,67.05930590629578,hybrid,linear,8,8,75,1,0.2,1,1
mband_linear_N8_F8_O75_FL0p6,63.107282400131226,hybrid,linear,8,8,75,1,0.6,1,1
mband_linear_N8_F8_O75_FL0p2,62.84160304069519,hybrid,linear,8,8,75,2,0.2,1,1
mband_linear_N8_F8_O75_FL0p6,67.07699966430664,hybrid,linear,8,8,75,2,0.6,1,1
mband_linear_N8_F20_O50_FL0p2,29.588144540786743,hybrid,linear,8,20,50,1,0.2,1,1
mband_linear_N8_F20_O50_FL0p6,35.13691425323486,hybrid,linear,8,20,50,1,0.6,1,1
mband_linear_N8_F20_O50_FL0p2,31.669770002365112,hybrid,linear,8,20,50,2,0.2,1,1
mband_linear_N8_F20_O50_FL0p6,33.82373571395874,hybrid,linear,8,20,50,2,0.6,1,1
mband_linear_N8_F20_O75_FL0p2,41.23487734794617,hybrid,linear,8,20,75,1,0.2,1,1
mband_linear_N8_F20_O75_FL0p6,42.96279287338257,hybrid,linear,8,20,75,1,0.6,1,1
mband_linear_N8_F20_O75_FL0p2,44.199222803115845,hybrid,linear,8,20,75,2,0.2,1,1
mband_linear_N8_F20_O75_FL0p6,38.15308380126953,hybrid,linear,8,20,75,2,0.6,1,1
mband_log_N4_F8_O50_FL0p2,42.0870885848999,hybrid,log,4,8,50,1,0.2,1,1
mband_log_N4_F8_O50_FL0p6,37.784321784973145,hybrid,log,4,8,50,1,0.6,1,1
mband_log_N4_F8_O50_FL0p2,40.34548306465149,hybrid,log,4,8,50,2,0.2,1,1
mband_log_N4_F8_O50_FL0p6,38.064441442489624,hybrid,log,4,8,50,2,0.6,1,1
mband_log_N4_F8_O75_FL0p2,57.01662516593933,hybrid,log,4,8,75,1,0.2,1,1
mband_log_N4_F8_O75_FL0p6,57.431567907333374,hybrid,log,4,8,75,1,0.6,1,1
mband_log_N4_F8_O75_FL0p2,53.44945740699768,hybrid,log,4,8,75,2,0.2,1,1
mband_log_N4_F8_O75_FL0p6,54.666937828063965,hybrid,log,4,8,75,2,0.6,1,1
mband_log_N4_F20_O50_FL0p2,33.00188708305359,hybrid,log,4,20,50,1,0.2,1,1
mband_log_N4_F20_O50_FL0p6,28.326204538345337,hybrid,log,4,20,50,1,0.6,1,1
mband_log_N4_F20_O50_FL0p2,34.95809555053711,hybrid,log,4,20,50,2,0.2,1,1
mband_log_N4_F20_O50_FL0p6,29.523844957351685,hybrid,log,4,20,50,2,0.6,1,1
mband_log_N4_F20_O75_FL0p2,37.95790672302246,hybrid,log,4,20,75,1,0.2,1,1
