SNR_dB,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,PESQ,STOI,SI_SDR,DNSMOS
-5,mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,0.45845557157198585,1.3357629537582398,0.6354218482971191,4.26123878955841,2.396226792219419
0,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,0.524438304424286,1.5559707880020142,0.7151829957962036,8.950073337554931,3.094862744600923
5,mband_log_N8_F20_O75_FL0p5,log,8,20,75,0.5,1,0.589103483359019,1.8565606594085693,0.7738471269607544,12.248619842529298,3.4796038154336655
10,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,0.6601089296340943,2.2531798839569093,0.817925500869751,15.304907989501952,3.846753288391735
15,mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,1,0.7291037969589234,2.681514310836792,0.8436830043792725,18.26515350341797,3.883612519582614
