SNR_dB,Parameter,Best_Value,Score
0,Freq_spacing,linear,8.722961449328764
0,Nband,16,8.739764390168366
0,FRMSZ_ms,8,8.980660756429037
0,OVLP,75,9.210204877971131
0,Floor,0.7,8.748334696263443
0,Noisefr,1,8.696900803365825
