SNR_dB,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,PESQ_Score,PESQ,STOI,SI_SDR,DNSMOS
-5,mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,1.3357629537582398,1.3357629537582398,0.6354218482971191,4.26123878955841,2.396226792219419
0,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,1.5559707880020142,1.5559707880020142,0.7151829957962036,8.950073337554931,3.094862744600923
5,mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,1.8630665063858032,1.8630665063858032,0.7636910319328308,12.272395706176757,3.468743139072245
10,mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,2.2531798839569093,2.2531798839569093,0.817925500869751,15.304907989501952,3.846753288391735
15,mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,1,2.681514310836792,2.681514310836792,0.8436830043792725,18.26515350341797,3.883612519582614
