SNR_dB,Parameter,Best_Objective,Obj_Score,Best_Subjective,Subj_Score,Agrees
-5,Freq_spacing,linear,0.4061264378016377,log,0.4436181584537013,False
-5,Nband,8,0.4059604268112579,16,0.441254904063266,False
-5,FRMSZ_ms,20,0.4080757825361853,25,0.4667706277787591,False
-5,OVLP,50,0.4074644341464416,25,0.4485727664754865,False
-5,Floor,0.02,0.4080228293053065,0.2,0.48475206185188796,False
-5,Noisefr,1,0.4058898633507591,1,0.4369089862821493,True
0,Freq_spacing,mel,0.45514707284863265,log,0.4848255302228627,False
0,Nband,8,0.45532342693115624,4,0.48369502597112596,False
0,FRMSZ_ms,20,0.45777490994240194,25,0.5118798290498286,False
0,OVLP,50,0.45732612406929496,25,0.4980229499092486,False
0,Floor,0.001,0.4594408143057254,0.2,0.5280806420033887,False
0,Noisefr,1,0.4548205294726807,1,0.48304415163810116,True
5,Freq_spacing,linear,0.5140412746666226,linear,0.5494534591634176,True
5,Nband,8,0.5144644366304897,8,0.5427545357170805,True
5,FRMSZ_ms,20,0.5187149868269844,25,0.5706940636363685,False
5,OVLP,50,0.5181008920535465,25,0.556268983272734,False
5,Floor,0.001,0.5219922939004231,0.2,0.5641481904482267,False
5,Noisefr,1,0.5138647466066716,1,0.5422911425153953,True
10,Freq_spacing,log,0.5810415541864062,linear,0.6073530572415311,False
10,Nband,16,0.5819074267369729,8,0.6076863544926977,False
10,FRMSZ_ms,20,0.5856325604918888,25,0.625088799732187,False
10,OVLP,75,0.590384777324844,25,0.6181649657420478,False
10,Floor,0.001,0.5889295217660555,0.2,0.6072730429026906,False
10,Noisefr,1,0.5803836930882837,1,0.6044214692944115,True
15,Freq_spacing,mel,0.647513224866001,mel,0.6620876389454688,True
15,Nband,16,0.6485421530225803,16,0.6638822110021916,True
15,FRMSZ_ms,20,0.6527955172745452,25,0.6767908999181843,False
15,OVLP,75,0.6670778186658118,25,0.6781288095757642,False
15,Floor,0.001,0.6535110078901256,0.001,0.6704115013719351,True
15,Noisefr,1,0.6467711701892421,1,0.661350330731955,True
