epoch,train_loss,val_loss,f1_score,precision,recall,accuracy,specificity,pred_speech_ratio,true_speech_ratio
1,0.25947167904376983,0.5525128018856048,0.7693139029558674,0.941127535096422,0.6505487608134265,0.696094016660462,0.8565925845254561,0.5384469666031303,0.7789535496551065
2,0.17038691812753679,0.31872316896915437,0.9111872289622969,0.9702923606369811,0.8588694007663431,0.8667739076082891,0.8975652940053972,0.7043505947688087,0.7957275002514803
3,0.13047852655649186,0.34277764284610746,0.8991373265783942,0.9861684148425404,0.8262218063936504,0.851464990933813,0.9532665527213322,0.6713411909820169,0.8013047743426477
4,0.1199055911064148,0.2852663037776947,0.9205921636693986,0.9819902945246576,0.8664199716511491,0.8800838783505988,0.9355254366016176,0.7078549834223616,0.8022745855303827
5,0.11677427047491074,0.2500564237833023,0.9323357927479826,0.9770616882477766,0.8915253993742209,0.8967632551609345,0.9174273570773486,0.7279401628789866,0.7977814709318871
6,0.11180545976161957,0.23079612374305725,0.9409910964067312,0.9735585492545078,0.9105320056980424,0.9085150511314607,0.9003909261332477,0.7492479234605752,0.8011104682004242
7,0.10697088676691055,0.2285662500858307,0.9371392529684716,0.9795265479948623,0.8982682676425982,0.903859441573318,0.9259202564854724,0.7316190831558642,0.7978021052124772
8,0.10462457491755485,0.27746999251842497,0.9193724453109542,0.988527227804972,0.8592608041301616,0.8802968126627995,0.9615027816392175,0.6903909307751411,0.7942527223637486
9,0.10092614115476609,0.2574676549434662,0.9264282776892679,0.9882391773414372,0.871894340154466,0.8896120440003107,0.9592292533391588,0.7032836305099619,0.7971291983954554
10,0.09706020850539207,0.21238915878534317,0.9405845730351882,0.9841057805373729,0.9007497138373852,0.908883315722548,0.9415577599705388,0.732866310782644,0.8006863190994054
11,0.09589194055199624,0.21003381860256196,0.9423982021485857,0.9814555648368588,0.906330468575277,0.9121168794433558,0.9343123151589607,0.7324926010341787,0.7932083984961048
12,0.09376945052146912,0.1908819195628166,0.9477372941745634,0.9717900906109067,0.9248464019380354,0.9198770884686183,0.9016780707063703,0.7475673759414032,0.7855126715976866
13,0.09111949071288108,0.2133668874502182,0.9378150110121497,0.9860692944744782,0.8940631403771637,0.9057477648345431,0.9510399212949309,0.7207519819656387,0.7949230498956966
14,0.08966104957461357,0.21769533365964888,0.9366091244493454,0.9892538496493952,0.8892844316560762,0.9035570920452269,0.9610720396457916,0.7202183565426001,0.8011821150080287
15,0.08877193706035615,0.20135280227661131,0.9426314740061622,0.9860275474461689,0.9028941842812394,0.9125949069436934,0.9502871656151596,0.728259134466442,0.7953130951162957
16,0.0870271298468113,0.17136189019680023,0.9524381671652526,0.9820803249806254,0.9245329629807278,0.9266233518726613,0.9347133091225658,0.7480989952538288,0.794664261626629
17,0.0854592937886715,0.20110329151153564,0.9438234132558894,0.9859580570528094,0.9051424039540416,0.9141072277586099,0.9493387775862422,0.7318188344554656,0.7971592900546494
18,0.08603348023295403,0.21559718918800355,0.9374280068897443,0.9905604181278402,0.8897053350779297,0.9053324999376673,0.9667033804964703,0.7158926088866688,0.797044655162482
19,0.08503691809773445,0.18696631646156311,0.9470667138052142,0.9857981092272834,0.911263727930226,0.9191594740436513,0.9495200418791621,0.7336059924243532,0.7936093340314598
20,0.0864369343161583,0.1948401666879654,0.9441000121040274,0.9859419622955095,0.905664904099032,0.9160872589335688,0.9535648570724726,0.7187086150127574,0.7824140904624056
21,0.08414123476743698,0.19924200785160065,0.9428235646141238,0.9883426624386822,0.9013127169181592,0.9129276347182088,0.958389724884328,0.7263670855712213,0.7965044382331439
22,0.08257791767120361,0.2389971757531166,0.927881742098949,0.9940612408619474,0.8699640010534875,0.8921363043258337,0.9795171919648913,0.6980387976060796,0.7976115247042491
23,0.08281178531050683,0.2214482399225235,0.9344726078683464,0.9915251282259209,0.8836284786271543,0.9017117568685645,0.9710431236076958,0.706824415741778,0.7931321662928136
24,0.0814894392490387,0.197451389670372,0.942217517427695,0.9893857309386916,0.8993420672171171,0.9119904944747415,0.9619163608935433,0.7252519746576643,0.7978654409903996
25,0.08155541091561318,0.18094147342443467,0.9481267626240933,0.9854366879914325,0.9135389788170081,0.9210512363516414,0.949275797005015,0.7321661781787324,0.7897894128372165
26,0.08157239441275596,0.22828743809461594,0.9313981934710437,0.9918056643904624,0.8779266985823857,0.8971406905433952,0.9718111839442641,0.7040230255644407,0.7953443331244112
