SNR_dB,PESQ_Winner,PESQ_Score,STOI_Winner,STOI_Score,SI_SDR_Winner,SI_SDR_Score
-5,MEL,1.3165977696577709,MEL,0.6216588901976744,LOG,4.021586063007514
0,LOG,1.5563365171353023,LINEAR,0.7061196429034075,MEL,8.477106293042501
5,MEL,1.876068390905857,MEL,0.7725455909967422,MEL,11.873599310715994
10,LINEAR,2.255814323822657,MEL,0.8112352453172207,LINEAR,14.744152446587881
15,LOG,2.654198711117109,LOG,0.8400938945511977,MEL,17.40399779876073
