Metric,Baseline_Noisy,GTCRN_baseline_Value,GTCRN_baseline_Change,GTCRN_baseline_%,SS_GTCRN_Value,SS_GTCRN_Change,SS_GTCRN_%,GTCRN_SS_wovad_lowerfloor_Value,GTCRN_SS_wovad_lowerfloor_Change,GTCRN_SS_wovad_lowerfloor_%,GTCRN_WF_Value,GTCRN_WF_Change,GTCRN_WF_%,GTCRN_WF_eta08_25ms_Value,GTCRN_WF_eta08_25ms_Change,GTCRN_WF_eta08_25ms_%
PESQ,1.3990,1.7413,+0.3423,+24.47%,1.6483,+0.2493,+17.82%,1.7630,+0.3640,+26.02%,1.6795,+0.2805,+20.05%,1.6854,+0.2864,+20.47%
SI_SDR,9.9993,11.4720,+1.4727,+14.73%,9.5321,-0.4672,-4.67%,11.1252,+1.1259,+11.26%,11.4015,+1.4022,+14.02%,10.9771,+0.9778,+9.78%
STOI,0.7459,0.7258,-0.0201,-2.69%,0.7022,-0.0437,-5.86%,0.7242,-0.0217,-2.91%,0.7232,-0.0227,-3.04%,0.7216,-0.0243,-3.26%
DNSMOS_p808_mos,2.8632,3.2097,+0.3465,+12.10%,2.9970,+0.1338,+4.67%,3.2646,+0.4014,+14.02%,3.2286,+0.3654,+12.76%,3.2171,+0.3539,+12.36%
DNSMOS_mos_sig,4.0710,3.5316,-0.5394,-13.25%,3.2249,-0.8461,-20.78%,3.8127,-0.2583,-6.34%,3.5894,-0.4816,-11.83%,3.5166,-0.5544,-13.62%
DNSMOS_mos_bak,2.4300,3.5685,+1.1385,+46.85%,3.6254,+1.1954,+49.19%,3.7867,+1.3567,+55.83%,3.7052,+1.2752,+52.48%,3.7510,+1.3210,+54.36%
DNSMOS_mos_ovr,2.7256,2.9533,+0.2277,+8.35%,2.7602,+0.0346,+1.27%,3.2297,+0.5041,+18.50%,3.0729,+0.3473,+12.74%,3.0429,+0.3173,+11.64%
