Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_log_N8_F25_O25_FL0p001,Stationary,log,8,25,25,2.131692886352539,0.8344288468360901,11.077261924743652,4.109155556973488,4.109155556973488
mband_mel_N16_F20_O25_FL0p02,Stationary,mel,16,20,25,2.2747652530670166,0.8414535522460938,12.158284187316896,4.098988397840308,4.098988397840308
mband_mel_N16_F25_O50_FL0p001,Street,mel,16,25,50,2.3227345943450928,0.8042494654655457,13.215933799743652,4.063369304766163,4.063369304766163
mband_log_N4_F25_O50_FL0p001,Stationary,log,4,25,50,2.624681234359741,0.8480685949325562,13.652583122253418,4.062847178757195,4.062847178757195
mband_linear_N8_F25_O25_FL0p001,Stationary,linear,8,25,25,2.120345115661621,0.8370506167411804,11.09068489074707,4.04806659440996,4.04806659440996
mband_linear_N16_F25_O25_FL0p001,Stationary,linear,16,25,25,2.128124475479126,0.8320051431655884,11.238609313964844,4.047978119561074,4.047978119561074
mband_mel_N4_F20_O50_FL0p02,Stationary,mel,4,20,50,2.5320677757263184,0.8538258671760559,14.659680366516112,4.017766779300768,4.017766779300768
mband_log_N16_F20_O50_FL0p02,Stationary,log,16,20,50,2.6173012256622314,0.8474445939064026,14.65093994140625,3.997913311813008,3.997913311813008
mband_linear_N8_F20_O25_FL0p02,Stationary,linear,8,20,25,2.2081403732299805,0.8450077176094055,12.253788948059082,3.993051092781368,3.993051092781368
mband_linear_N8_F20_O25_FL0p001,Stationary,linear,8,20,25,2.258167266845703,0.8459126353263855,12.064318656921388,3.986852637803672,3.986852637803672
