Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,STOI
mband_mel_N4_F25_O75_FL0p001,Stationary,mel,4,25,75,2.7039012908935547,0.8625482320785522,15.669319152832031,3.8028013784918686,0.8625482320785522
mband_linear_N4_F20_O75_FL0p001,Stationary,linear,4,20,75,2.65232801437378,0.8610907793045044,16.317407608032227,3.627004597615465,0.8610907793045044
mband_linear_N8_F25_O75_FL0p02,Stationary,linear,8,25,75,2.576917886734009,0.8608773946762085,15.9728422164917,3.692380636925254,0.8608773946762085
mband_mel_N8_F25_O75_FL0p001,Stationary,mel,8,25,75,2.7474539279937744,0.8607882857322693,15.902191162109377,3.6912703435690206,0.8607882857322693
mband_mel_N4_F25_O75_FL0p02,Stationary,mel,4,25,75,2.60853910446167,0.8599719405174255,16.541126251220703,3.41353206376133,0.8599719405174255
mband_linear_N16_F20_O75_FL0p02,Stationary,linear,16,20,75,2.661558151245117,0.8596155643463135,16.076982498168945,3.600586350675816,0.8596155643463135
mband_log_N4_F20_O75_FL0p2,Stationary,log,4,20,75,2.3139841556549072,0.8593506813049316,16.627016067504883,3.3711719181795066,0.8593506813049316
mband_mel_N8_F25_O75_FL0p02,Stationary,mel,8,25,75,2.705556154251098,0.8586363196372986,16.493257522583008,3.507713037703674,0.8586363196372986
mband_linear_N4_F20_O75_FL0p02,Stationary,linear,4,20,75,2.5738112926483154,0.85807204246521,16.163368225097656,3.725718130796012,0.85807204246521
mband_linear_N16_F25_O75_FL0p001,Stationary,linear,16,25,75,2.612846851348877,0.8577519059181213,15.898500442504885,3.775524722932978,0.8577519059181213
