Parameter,Value,PESQ_mean,PESQ_std,STOI_mean,STOI_std,SI_SDR_mean,SI_SDR_std,DNSMOS_mean,DNSMOS_std,Weighted_mean,Weighted_std,Count
Freq_spacing,mel,1.5501338489752248,0.4132980897521207,0.7205498079458873,0.09210432877694455,7.496423783504746,5.768457780910439,2.7238341999968214,0.603453111382984,0.5652882888704661,0.08262011715934386,1215
Freq_spacing,log,1.5603297068748945,0.4209499961495621,0.7180713161028952,0.09112784781337828,7.296005419418676,5.7247049926201345,2.728238875597645,0.594751602756493,0.565068628738937,0.08296316475174215,1215
Freq_spacing,linear,1.5442471176508523,0.4080559710747185,0.7216937348921113,0.0923047269202765,7.521049733735897,5.757695830268201,2.731975165791571,0.6053560507347168,0.5652715792111409,0.0823522526831362,1215
Nband,8,1.553399089923121,0.41605438323881333,0.7206854271545332,0.09207239860936688,7.475764088027961,5.732377433008741,2.7316936094149638,0.6073285518171151,0.5656826225695787,0.08288346797552688,1215
Nband,4,1.5441188640555237,0.4048660779009803,0.7199438584439548,0.09215118981957314,7.393884800485654,5.768003480627828,2.720141477047823,0.6052589675967388,0.5643838156275298,0.08192166153053544,1215
Nband,16,1.557192719522327,0.42136453233377036,0.7196855733424057,0.09134993428849339,7.443830048145704,5.752867771480475,2.7322131549232505,0.5908423654298687,0.5655620586234356,0.08312060683573554,1215
FRMSZ_ms,8,1.515825639045778,0.38628475525178807,0.7163743050991263,0.09248542072022263,7.399435911162032,5.995917262466947,2.549850202865592,0.6507088828235993,0.559769716454141,0.08063448056684848,1215
FRMSZ_ms,20,1.5776197316715257,0.43010685479120525,0.7223504196714472,0.09187476479835081,7.573777313715176,5.694228711931626,2.782973818405117,0.5556489840761847,0.5689371830028761,0.0840898930267886,1215
FRMSZ_ms,25,1.5612653027836678,0.42237028800290133,0.7215901341703203,0.09109780230916519,7.340265711782109,5.551949970554354,2.8512242201153275,0.5497468983282381,0.5669215973635269,0.08289395619509292,1215
OVLP,50,1.582384063873762,0.4350764229552168,0.7218759191379626,0.09152693552443696,7.678355573482597,5.795313947654014,2.7620912692098103,0.5980112700448532,0.5691763659563575,0.08458598650364928,1215
OVLP,75,1.5886490814970353,0.4528948862368097,0.7222217736911382,0.0941949336343612,8.048930646120015,6.161585128404035,2.6227984972009457,0.5971583068466286,0.5699757949952725,0.0874844915645549,1215
OVLP,25,1.4836775281301742,0.33661800103444084,0.7162171661117931,0.08967665124493922,6.586192717056706,5.149813724958073,2.7991584749752807,0.5940130035447827,0.556476335868914,0.07461737259234376,1215
