Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,SI_SDR
mband_mel_N4_F20_O75_FL0p2,Stationary,mel,4,20,75,2.2724199295043945,0.8477112054824829,16.969078063964844,3.5328737089725486,16.969078063964844
mband_linear_N16_F20_O75_FL0p2,Stationary,linear,16,20,75,2.2885870933532715,0.8483103513717651,16.96141815185547,3.420424095216724,16.96141815185547
mband_linear_N4_F20_O75_FL0p2,Stationary,linear,4,20,75,2.2995309829711914,0.8548264503479004,16.912511825561523,3.4145882042035827,16.912511825561523
mband_linear_N8_F20_O75_FL0p2,Stationary,linear,8,20,75,2.296395063400269,0.8574588298797607,16.898386001586914,3.219987869913948,16.898386001586914
mband_mel_N8_F20_O75_FL0p2,Stationary,mel,8,20,75,2.3085315227508545,0.8473823666572571,16.870285034179688,3.327760071673323,16.870285034179688
mband_mel_N8_F25_O75_FL0p2,Stationary,mel,8,25,75,2.3016507625579834,0.8453568816184998,16.864490509033203,3.4308023547875592,16.864490509033203
mband_mel_N16_F25_O75_FL0p2,Stationary,mel,16,25,75,2.327132225036621,0.8533574938774109,16.8393611907959,3.488855481755051,16.8393611907959
mband_linear_N4_F25_O75_FL0p2,Stationary,linear,4,25,75,2.2611820697784424,0.8487487435340881,16.792156219482422,3.344475313547412,16.792156219482422
mband_mel_N16_F20_O75_FL0p2,Stationary,mel,16,20,75,2.3138668537139893,0.8507286906242371,16.76130485534668,3.2413407505228715,16.76130485534668
mband_log_N16_F25_O75_FL0p2,Stationary,log,16,25,75,2.321767568588257,0.8491743803024292,16.749099731445312,3.442465354420677,16.749099731445312
