Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N8_F25_O75_FL0p001,Stationary,log,8,25,75,2.842340469360352,0.8556930422782898,15.388039588928224,3.842529880993126,0.7620805680751801
mband_log_N4_F25_O75_FL0p001,Stationary,log,4,25,75,2.816021680831909,0.855394721031189,15.469340324401855,3.8313840033937785,0.7592995285987854
mband_log_N16_F20_O75_FL0p001,Stationary,log,16,20,75,2.805084466934204,0.8546608090400696,15.16429042816162,3.56876476469731,0.7578388512134552
mband_log_N8_F20_O75_FL0p001,Stationary,log,8,20,75,2.80281138420105,0.8540375232696533,15.603748321533203,3.456854706557426,0.7572999000549316
mband_log_N16_F25_O75_FL0p001,Stationary,log,16,25,75,2.7959015369415283,0.8528456091880798,15.546592712402344,3.712231006224995,0.7560129582881927
mband_mel_N8_F25_O75_FL0p001,Stationary,mel,8,25,75,2.7474539279937744,0.8607882857322693,15.902191162109377,3.6912703435690206,0.7551395356655121
mband_log_N8_F25_O75_FL0p02,Stationary,log,8,25,75,2.762942314147949,0.8563405871391296,15.33047103881836,3.4267844810942103,0.7544645249843598
mband_mel_N16_F25_O75_FL0p001,Stationary,mel,16,25,75,2.750962495803833,0.8538630604743958,16.58451271057129,3.591813542073814,0.7520277798175812
mband_log_N16_F20_O75_FL0p02,Stationary,log,16,20,75,2.731783628463745,0.8574745655059814,15.554973602294922,3.3620049187855057,0.7519156455993652
mband_mel_N4_F25_O75_FL0p001,Stationary,mel,4,25,75,2.7039012908935547,0.8625482320785522,15.669319152832031,3.8028013784918686,0.7516642451286316
