Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,SI_SDR
mband_linear_N4_F8_O75_FL0p7,Train,linear,4,8,75,2.241761922836304,0.820728063583374,16.521869659423828,3.655654786552129,16.521869659423828
mband_mel_N4_F8_O75_FL0p7,Train,mel,4,8,75,2.241151571273804,0.820671021938324,16.52153778076172,3.651154490570875,16.52153778076172
mband_linear_N4_F8_O75_FL0p7,Street,linear,4,8,75,2.249380111694336,0.8214178085327148,16.49310874938965,3.917087863293931,16.49310874938965
mband_mel_N4_F8_O75_FL0p7,Street,mel,4,8,75,2.248985767364502,0.8214725852012634,16.491849899291992,3.918826421006169,16.491849899291992
mband_linear_N8_F8_O75_FL0p5,Street,linear,8,8,75,2.1187057495117188,0.8185544013977051,16.46924591064453,3.950803705928756,16.46924591064453
mband_mel_N8_F8_O75_FL0p5,Street,mel,8,8,75,2.116799116134644,0.8180189728736877,16.468338012695312,3.9470285938405527,16.468338012695312
mband_linear_N4_F8_O75_FL0p3,Street,linear,4,8,75,2.1907520294189453,0.8050947785377502,16.457502365112305,3.568543299295841,16.457502365112305
mband_mel_N4_F8_O75_FL0p3,Street,mel,4,8,75,2.1879372596740723,0.8051026463508606,16.456016540527344,3.5733434476557893,16.456016540527344
mband_log_N16_F8_O75_FL0p8,Train,log,16,8,75,2.254084825515747,0.824890673160553,16.429861068725586,3.8383297812566592,16.429861068725586
mband_linear_N8_F8_O75_FL0p8,Street,linear,8,8,75,2.139047861099243,0.826749861240387,16.396991729736328,3.809101200118112,16.396991729736328
