Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,STOI
mband_log_N4_F20_O75_FL0p3,Stationary,log,4,20,75,2.771665334701538,0.869002640247345,15.170318603515623,4.056652501772902,0.869002640247345
mband_mel_N4_F20_O75_FL0p7,Stationary,mel,4,20,75,2.77142333984375,0.8687015175819397,15.59585952758789,3.929598806688293,0.8687015175819397
mband_linear_N4_F20_O75_FL0p7,Stationary,linear,4,20,75,2.7711822986602783,0.8686771392822266,15.59650421142578,3.9226904275130106,0.8686771392822266
mband_mel_N16_F20_O75_FL0p5,Stationary,mel,16,20,75,2.7448513507843018,0.8662114143371582,16.02699851989746,4.125361360988932,0.8662114143371582
mband_linear_N16_F20_O75_FL0p5,Stationary,linear,16,20,75,2.7396605014801025,0.8657262921333313,16.032108306884766,4.134904117019876,0.8657262921333313
mband_mel_N8_F20_O75_FL0p8,Stationary,mel,8,20,75,2.7926766872406006,0.8642123341560364,15.519824028015137,4.019530364978091,0.8642123341560364
mband_linear_N8_F20_O75_FL0p8,Stationary,linear,8,20,75,2.7925901412963867,0.864173948764801,15.520118713378906,4.021418461044223,0.864173948764801
mband_log_N4_F8_O75_FL0p8,Stationary,log,4,8,75,2.776893138885498,0.8635798096656799,15.540647506713867,3.8909211186982335,0.8635798096656799
mband_log_N8_F25_O50_FL0p3,Stationary,log,8,25,50,2.647794246673584,0.860637366771698,13.445267677307127,4.219179415516506,0.860637366771698
mband_mel_N16_F8_O75_FL0p5,Stationary,mel,16,8,75,2.753577947616577,0.8603954315185547,15.619157791137695,3.662300950364028,0.8603954315185547
