config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N4_F20_O75_FL0p3,61.81542778015137,hybrid,mel,4,20,75,1,0.3,1,1
mband_mel_N4_F20_O75_FL0p5,61.99024820327759,hybrid,mel,4,20,75,1,0.5,1,1
mband_mel_N4_F20_O75_FL0p7,63.40409064292908,hybrid,mel,4,20,75,1,0.7,1,1
mband_mel_N4_F20_O75_FL0p8,63.82633686065674,hybrid,mel,4,20,75,1,0.8,1,1
mband_mel_N4_F20_O75_FL0p001,60.609153032302856,hybrid,mel,4,20,75,3,0.001,1,1
mband_mel_N4_F20_O75_FL0p3,65.14811539649963,hybrid,mel,4,20,75,3,0.3,1,1
mband_mel_N4_F20_O75_FL0p5,63.53922462463379,hybrid,mel,4,20,75,3,0.5,1,1
mband_mel_N4_F20_O75_FL0p7,61.18727779388428,hybrid,mel,4,20,75,3,0.7,1,1
mband_mel_N4_F20_O75_FL0p8,64.62896180152893,hybrid,mel,4,20,75,3,0.8,1,1
mband_mel_N4_F25_O25_FL0p001,44.64977240562439,hybrid,mel,4,25,25,1,0.001,1,1
mband_mel_N4_F25_O25_FL0p3,44.629353761672974,hybrid,mel,4,25,25,1,0.3,1,1
mband_mel_N4_F25_O25_FL0p5,44.378501892089844,hybrid,mel,4,25,25,1,0.5,1,1
mband_mel_N4_F25_O25_FL0p7,44.36521601676941,hybrid,mel,4,25,25,1,0.7,1,1
mband_mel_N4_F25_O25_FL0p8,45.777522802352905,hybrid,mel,4,25,25,1,0.8,1,1
mband_mel_N4_F25_O25_FL0p001,44.07555937767029,hybrid,mel,4,25,25,3,0.001,1,1
mband_mel_N4_F25_O25_FL0p3,45.31909656524658,hybrid,mel,4,25,25,3,0.3,1,1
mband_mel_N4_F25_O25_FL0p5,47.495272636413574,hybrid,mel,4,25,25,3,0.5,1,1
mband_mel_N4_F25_O25_FL0p7,43.47407031059265,hybrid,mel,4,25,25,3,0.7,1,1
mband_mel_N4_F25_O25_FL0p8,43.92779541015625,hybrid,mel,4,25,25,3,0.8,1,1
mband_mel_N4_F25_O50_FL0p001,48.181962966918945,hybrid,mel,4,25,50,1,0.001,1,1
mband_mel_N4_F25_O50_FL0p3,48.70359468460083,hybrid,mel,4,25,50,1,0.3,1,1
mband_mel_N4_F25_O50_FL0p5,49.00874185562134,hybrid,mel,4,25,50,1,0.5,1,1
mband_mel_N4_F25_O50_FL0p7,47.4046151638031,hybrid,mel,4,25,50,1,0.7,1,1
mband_mel_N4_F25_O50_FL0p8,48.64350509643555,hybrid,mel,4,25,50,1,0.8,1,1
mband_mel_N4_F25_O50_FL0p001,51.56613373756409,hybrid,mel,4,25,50,3,0.001,1,1
mband_mel_N4_F25_O50_FL0p3,47.51939678192139,hybrid,mel,4,25,50,3,0.3,1,1
