Metric,SNR_dB,Noisy,mband_lin_avr0,mband_lin_avr1,mband_log_avr0,mband_log_avr1,mband_mel_avr0,mband_mel_avr1,mband_py_lin_avr0_8,mband_py_lin_avr1,mband_py_log_avr0_8,mband_py_log_avr1,mband_py_mel_avr0_8,mband_py_mel_avr1
PESQ,-5,1.0658,1.1081,1.1162,1.1097,1.1059,1.1064,1.1123,1.1024,1.1117,1.1134,1.111,1.1077,1.1163
PESQ,0,1.0937,1.1844,1.2139,1.2147,1.2207,1.1834,1.2195,1.1925,1.2307,1.2128,1.2276,1.1902,1.2204
PESQ,5,1.1733,1.3519,1.4013,1.3896,1.4143,1.3532,1.4013,1.3441,1.421,1.4082,1.4379,1.3706,1.4296
PESQ,10,1.3446,1.6302,1.642,1.6788,1.6909,1.6101,1.659,1.6283,1.7032,1.6858,1.7423,1.639,1.7291
PESQ,15,1.6468,2.0098,2.0225,2.0459,2.0299,1.9785,1.9835,2.0302,2.0849,2.0803,2.1362,2.0489,2.0836
SI_SDR,-5,-4.9899,-0.946,-0.5988,-0.0751,-0.2501,-0.7418,-0.3566,-0.8509,0.0649,-0.6056,-0.7242,-0.9882,-0.2594
SI_SDR,0,-0.0263,4.2643,4.4193,4.5475,4.5448,3.9957,4.2041,3.8968,4.8064,4.4565,4.4491,3.9766,4.4282
SI_SDR,5,4.9955,8.6082,8.3258,8.5247,8.134,8.4379,8.0847,8.6288,8.4561,8.8271,8.4766,8.5245,8.2819
SI_SDR,10,9.9991,12.6141,11.5108,12.6063,11.3432,12.0428,11.3988,12.5744,11.7408,12.656,11.2924,12.402,11.582
SI_SDR,15,14.9989,16.0545,13.6753,15.8209,13.5566,15.4862,13.3345,16.3049,14.0088,15.8372,13.6192,16.0156,13.7094
STOI,-5,0.5866,0.5774,0.5877,0.5805,0.5933,0.5748,0.5878,0.5687,0.5968,0.5738,0.5903,0.5723,0.5926
STOI,0,0.6549,0.651,0.6617,0.6515,0.6597,0.6477,0.6593,0.6532,0.6648,0.6468,0.6598,0.6497,0.6572
