Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,SI_SDR
mband_linear_N8_F8_O75_FL0p3,Stationary,linear,8,8,75,1.903771162033081,0.7776648998260498,11.858192443847656,3.341137919273091,11.858192443847656
mband_mel_N8_F8_O75_FL0p3,Stationary,mel,8,8,75,1.903559923171997,0.7778033018112183,11.857953071594238,3.360780456581114,11.857953071594238
mband_linear_N8_F8_O75_FL0p8,Stationary,linear,8,8,75,2.0210039615631104,0.8094901442527771,11.836298942565918,3.685644551938061,11.836298942565918
mband_mel_N8_F8_O75_FL0p8,Stationary,mel,8,8,75,2.021205425262451,0.8094766736030579,11.836130142211914,3.687568399231305,11.836130142211914
mband_linear_N4_F8_O75_FL0p7,Stationary,linear,4,8,75,1.9520738124847408,0.7921321988105774,11.826754570007324,3.146512311317786,11.826754570007324
mband_mel_N4_F8_O75_FL0p7,Stationary,mel,4,8,75,1.952254056930542,0.7920966744422913,11.826423645019531,3.1485376812565047,11.826423645019531
mband_log_N4_F8_O75_FL0p5,Stationary,log,4,8,75,2.0017969608306885,0.8018954396247864,11.814218521118164,3.567018146266155,11.814218521118164
mband_log_N16_F8_O75_FL0p3,Stationary,log,16,8,75,1.9573166370391848,0.7946022152900696,11.807462692260742,3.660066345934805,11.807462692260742
mband_log_N8_F8_O75_FL0p8,Stationary,log,8,8,75,1.969454288482666,0.7802539467811584,11.790152549743652,3.3189186690042343,11.790152549743652
mband_log_N4_F8_O75_FL0p3,Stationary,log,4,8,75,1.93325936794281,0.7920507192611694,11.78455924987793,3.65886489581102,11.78455924987793
