Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_log_N8_F25_O75_FL0p001,Stationary,log,8,25,75,2.842340469360352,0.8556930422782898,15.388039588928224,3.842529880993126,2.842340469360352
mband_log_N4_F25_O75_FL0p001,Stationary,log,4,25,75,2.816021680831909,0.855394721031189,15.469340324401855,3.8313840033937785,2.816021680831909
mband_log_N16_F20_O75_FL0p001,Stationary,log,16,20,75,2.805084466934204,0.8546608090400696,15.16429042816162,3.56876476469731,2.805084466934204
mband_log_N8_F20_O75_FL0p001,Stationary,log,8,20,75,2.80281138420105,0.8540375232696533,15.603748321533203,3.456854706557426,2.80281138420105
mband_log_N16_F25_O75_FL0p001,Stationary,log,16,25,75,2.7959015369415283,0.8528456091880798,15.546592712402344,3.712231006224995,2.7959015369415283
mband_log_N8_F25_O75_FL0p02,Stationary,log,8,25,75,2.762942314147949,0.8563405871391296,15.33047103881836,3.4267844810942103,2.762942314147949
mband_mel_N16_F25_O75_FL0p001,Stationary,mel,16,25,75,2.750962495803833,0.8538630604743958,16.58451271057129,3.591813542073814,2.750962495803833
mband_mel_N8_F25_O75_FL0p001,Stationary,mel,8,25,75,2.7474539279937744,0.8607882857322693,15.902191162109377,3.6912703435690206,2.7474539279937744
mband_log_N4_F20_O75_FL0p001,Stationary,log,4,20,75,2.7450692653656006,0.8485199213027954,15.877548217773438,3.514768767914989,2.7450692653656006
mband_log_N16_F20_O75_FL0p02,Stationary,log,16,20,75,2.731783628463745,0.8574745655059814,15.554973602294922,3.3620049187855057,2.731783628463745
