SNR_dB,Noise_Type,Participant,Method,Nband,Floor,PESQ,STOI,SI_SDR,Weighted_Score,GTCRN_PESQ,GTCRN_STOI,PESQ_improvement,STOI_improvement,Status
5,babble,p092,GTCRN+SS,4,0.002,1.426123023033142,0.7675676345825195,9.80153751373291,0.5763961195945739,1.4333420991897583,0.7806475758552551,-0.007219076156616211,-0.013079941272735596,Success
5,babble,p092,GTCRN+SS,4,0.01,1.4268739223480225,0.7679612040519714,9.808027267456055,0.576667994260788,1.4333420991897583,0.7806475758552551,-0.00646817684173584,-0.012686371803283691,Success
5,babble,p092,GTCRN+SS,4,0.002,1.4297020435333252,0.7675944566726685,9.798726081848145,0.5767674326896668,1.4333420991897583,0.7806475758552551,-0.0036400556564331055,-0.01305311918258667,Success
5,babble,p092,GTCRN+SS,4,0.01,1.4306411743164062,0.7679848670959473,9.805397033691406,0.5770565509796143,1.4333420991897583,0.7806475758552551,-0.0027009248733520508,-0.012662708759307861,Success
5,babble,p092,GTCRN+SS,4,0.002,1.3427801132202148,0.7640960812568665,9.427513122558594,0.5663260519504547,1.4333420991897583,0.7806475758552551,-0.09056198596954346,-0.016551494598388672,Success
5,babble,p092,GTCRN+SS,4,0.01,1.3523845672607422,0.7646920084953308,9.44987678527832,0.5675844609737396,1.4333420991897583,0.7806475758552551,-0.08095753192901611,-0.015955567359924316,Success
5,babble,p092,GTCRN+SS,4,0.002,1.4540960788726807,0.7717755436897278,9.624589920043945,0.5812973797321319,1.4333420991897583,0.7806475758552551,0.020753979682922363,-0.008872032165527344,Success
5,babble,p092,GTCRN+SS,4,0.01,1.4517186880111694,0.7720678448677063,9.635483741760254,0.5812057912349701,1.4333420991897583,0.7806475758552551,0.018376588821411133,-0.008579730987548828,Success
5,babble,p092,GTCRN+SS,6,0.002,1.4276158809661865,0.7678560614585876,9.786308288574219,0.5766896188259125,1.4333420991897583,0.7806475758552551,-0.005726218223571777,-0.01279151439666748,Success
5,babble,p092,GTCRN+SS,6,0.01,1.4283955097198486,0.7682496905326843,9.792844772338867,0.5769643962383271,1.4333420991897583,0.7806475758552551,-0.004946589469909668,-0.0123978853225708,Success
5,babble,p092,GTCRN+SS,6,0.002,1.4311875104904175,0.7678451538085938,9.783485412597656,0.5770413279533386,1.4333420991897583,0.7806475758552551,-0.0021545886993408203,-0.012802422046661377,Success
5,babble,p092,GTCRN+SS,6,0.01,1.4321540594100952,0.7682382464408875,9.790203094482422,0.5773345291614532,1.4333420991897583,0.7806475758552551,-0.001188039779663086,-0.012409329414367676,Success
5,babble,p092,GTCRN+SS,6,0.002,1.343538522720337,0.7640870213508606,9.411116600036621,0.566397362947464,1.4333420991897583,0.7806475758552551,-0.08980357646942139,-0.01656055450439453,Success
5,babble,p092,GTCRN+SS,6,0.01,1.3506989479064941,0.7646754384040833,9.43380355834961,0.567407613992691,1.4333420991897583,0.7806475758552551,-0.08264315128326416,-0.015972137451171875,Success
5,babble,p092,GTCRN+SS,6,0.002,1.4515514373779297,0.7720088362693787,9.61973762512207,0.5811595618724823,1.4333420991897583,0.7806475758552551,0.018209338188171387,-0.008638739585876465,Success
5,babble,p092,GTCRN+SS,6,0.01,1.4518734216690063,0.7722991704940796,9.630685806274414,0.5813369274139404,1.4333420991897583,0.7806475758552551,0.018531322479248047,-0.008348405361175537,Success
5,babble,p092,GTCRN+SS,8,0.002,1.4265296459197998,0.7677850723266602,9.798684120178223,0.5765455007553101,1.4333420991897583,0.7806475758552551,-0.006812453269958496,-0.01286250352859497,Success
5,babble,p092,GTCRN+SS,8,0.01,1.427308201789856,0.7681664824485779,9.805258750915527,0.5768140614032745,1.4333420991897583,0.7806475758552551,-0.006033897399902344,-0.012481093406677246,Success
5,babble,p092,GTCRN+SS,8,0.002,1.4301440715789795,0.7678096890449524,9.79587459564209,0.5769192516803742,1.4333420991897583,0.7806475758552551,-0.0031980276107788086,-0.012837886810302734,Success
5,babble,p092,GTCRN+SS,8,0.01,1.431113600730896,0.7681893110275269,9.802629470825195,0.577206015586853,1.4333420991897583,0.7806475758552551,-0.0022284984588623047,-0.012458264827728271,Success
5,babble,p092,GTCRN+SS,8,0.002,1.3431737422943115,0.763839840888977,9.402814865112305,0.5662372946739197,1.4333420991897583,0.7806475758552551,-0.09016835689544678,-0.016807734966278076,Success
5,babble,p092,GTCRN+SS,8,0.01,1.3525688648223877,0.7644459009170532,9.425691604614258,0.5674798369407654,1.4333420991897583,0.7806475758552551,-0.0807732343673706,-0.016201674938201904,Success
5,babble,p092,GTCRN+SS,8,0.002,1.4543662071228027,0.7721445560455322,9.62081527709961,0.5815088987350464,1.4333420991897583,0.7806475758552551,0.021024107933044434,-0.0085030198097229,Success
5,babble,p092,GTCRN+SS,8,0.01,1.4547152519226074,0.7724301815032959,9.631800651550293,0.5816866159439087,1.4333420991897583,0.7806475758552551,0.02137315273284912,-0.008217394351959229,Success
5,babble,p092,GTCRN+SS,4,0.002,1.532794713973999,0.6909090876579285,10.143575668334961,0.5487340152263641,1.5690845251083374,0.6929098963737488,-0.03628981113433838,-0.0020008087158203125,Success
5,babble,p092,GTCRN+SS,4,0.01,1.534274935722351,0.6908760070800781,10.151897430419922,0.5488654971122742,1.5690845251083374,0.6929098963737488,-0.03480958938598633,-0.0020338892936706543,Success
5,babble,p092,GTCRN+SS,4,0.002,1.5327837467193604,0.6909058094024658,10.143576622009277,0.5487312793731689,1.5690845251083374,0.6929098963737488,-0.03630077838897705,-0.002004086971282959,Success
5,babble,p092,GTCRN+SS,4,0.01,1.5342774391174316,0.6908735036849976,10.151897430419922,0.5488644957542419,1.5690845251083374,0.6929098963737488,-0.03480708599090576,-0.0020363926887512207,Success
5,babble,p092,GTCRN+SS,4,0.002,1.489340901374817,0.6824284195899963,9.268275260925293,0.5401482999324798,1.5690845251083374,0.6929098963737488,-0.07974362373352051,-0.010481476783752441,Success
5,babble,p092,GTCRN+SS,4,0.01,1.4892390966415405,0.6826226711273193,9.30094051361084,0.5402352452278137,1.5690845251083374,0.6929098963737488,-0.07984542846679688,-0.010287225246429443,Success
5,babble,p092,GTCRN+SS,4,0.002,1.5393701791763306,0.689850389957428,9.649946212768555,0.5488622128963471,1.5690845251083374,0.6929098963737488,-0.029714345932006836,-0.0030595064163208008,Success
5,babble,p092,GTCRN+SS,4,0.01,1.541430950164795,0.6898552775382996,9.669662475585938,0.5490707337856293,1.5690845251083374,0.6929098963737488,-0.02765357494354248,-0.0030546188354492188,Success
5,babble,p092,GTCRN+SS,6,0.002,1.5348012447357178,0.6905824542045593,10.0739107131958,0.5487713515758514,1.5690845251083374,0.6929098963737488,-0.03428328037261963,-0.002327442169189453,Success
5,babble,p092,GTCRN+SS,6,0.01,1.5363295078277588,0.6905608177185059,10.082164764404297,0.5489133596420288,1.5690845251083374,0.6929098963737488,-0.03275501728057861,-0.00234907865524292,Success
5,babble,p092,GTCRN+SS,6,0.002,1.5348002910614014,0.6905789971351624,10.0739107131958,0.5487695276737213,1.5690845251083374,0.6929098963737488,-0.034284234046936035,-0.0023308992385864258,Success
5,babble,p092,GTCRN+SS,6,0.01,1.5363235473632812,0.690558135509491,10.082164764404297,0.5489114224910736,1.5690845251083374,0.6929098963737488,-0.03276097774505615,-0.0023517608642578125,Success
5,babble,p092,GTCRN+SS,6,0.002,1.4879989624023438,0.6820212006568909,9.252243995666504,0.5398104965686799,1.5690845251083374,0.6929098963737488,-0.08108556270599365,-0.01088869571685791,Success
5,babble,p092,GTCRN+SS,6,0.01,1.4877535104751587,0.6822330355644226,9.284917831420898,0.5398918688297272,1.5690845251083374,0.6929098963737488,-0.08133101463317871,-0.010676860809326172,Success
5,babble,p092,GTCRN+SS,6,0.002,1.5369820594787598,0.6896467208862305,9.633096694946289,0.5485215663909913,1.5690845251083374,0.6929098963737488,-0.03210246562957764,-0.0032631754875183105,Success
5,babble,p092,GTCRN+SS,6,0.01,1.5392026901245117,0.6896638870239258,9.652815818786621,0.5487522125244141,1.5690845251083374,0.6929098963737488,-0.029881834983825684,-0.003246009349822998,Success
5,babble,p092,GTCRN+SS,8,0.002,1.5338162183761597,0.6908152103424072,10.141850471496582,0.5487892270088196,1.5690845251083374,0.6929098963737488,-0.035268306732177734,-0.0020946860313415527,Success
5,babble,p092,GTCRN+SS,8,0.01,1.5352256298065186,0.6907829642295837,10.150227546691895,0.5489140450954437,1.5690845251083374,0.6929098963737488,-0.03385889530181885,-0.002126932144165039,Success
5,babble,p092,GTCRN+SS,8,0.002,1.5338144302368164,0.6908118724822998,10.141850471496582,0.5487873792648316,1.5690845251083374,0.6929098963737488,-0.035270094871520996,-0.0020980238914489746,Success
5,babble,p092,GTCRN+SS,8,0.01,1.5352251529693604,0.6907804012298584,10.150227546691895,0.5489127159118652,1.5690845251083374,0.6929098963737488,-0.03385937213897705,-0.002129495143890381,Success
5,babble,p092,GTCRN+SS,8,0.002,1.491321086883545,0.6822196245193481,9.26302719116211,0.5402419209480286,1.5690845251083374,0.6929098963737488,-0.07776343822479248,-0.010690271854400635,Success
5,babble,p092,GTCRN+SS,8,0.01,1.4902254343032837,0.6824201941490173,9.295794486999512,0.540232640504837,1.5690845251083374,0.6929098963737488,-0.07885909080505371,-0.010489702224731445,Success
5,babble,p092,GTCRN+SS,8,0.002,1.5406079292297363,0.6896979808807373,9.643333435058594,0.5489097833633423,1.5690845251083374,0.6929098963737488,-0.028476595878601074,-0.0032119154930114746,Success
5,babble,p092,GTCRN+SS,8,0.01,1.5425667762756348,0.6897064447402954,9.66329288482666,0.5491098999977112,1.5690845251083374,0.6929098963737488,-0.026517748832702637,-0.003203451633453369,Success
5,train,p092,GTCRN+SS,4,0.002,1.6484746932983398,0.8255053162574768,11.769886016845703,0.6276001274585724,1.6313539743423462,0.8369883894920349,0.017120718955993652,-0.011483073234558105,Success
5,train,p092,GTCRN+SS,4,0.01,1.6495486497879028,0.8258006572723389,11.772954940795898,0.6278551936149597,1.6313539743423462,0.8369883894920349,0.01819467544555664,-0.011187732219696045,Success
5,train,p092,GTCRN+SS,4,0.002,1.6483888626098633,0.8255096673965454,11.769887924194336,0.627593719959259,1.6313539743423462,0.8369883894920349,0.01703488826751709,-0.011478722095489502,Success
