Metric,SNR_dB,Noisy,mband_lin_avr1,mband_log_avr1,mband_mel_avr1,mband_py_lin_avr1,mband_py_log_avr1,mband_py_mel_avr1
PESQ,-5,1.0658,1.1162,1.1059,1.1123,1.1117,1.111,1.1163
PESQ,0,1.0937,1.2139,1.2207,1.2195,1.2307,1.2276,1.2204
PESQ,5,1.1733,1.4013,1.4143,1.4013,1.421,1.4379,1.4296
PESQ,10,1.3446,1.642,1.6909,1.659,1.7032,1.7423,1.7291
PESQ,15,1.6468,2.0225,2.0299,1.9835,2.0849,2.1362,2.0836
SI_SDR,-5,-4.9899,-0.5988,-0.2501,-0.3566,0.0649,-0.7242,-0.2594
SI_SDR,0,-0.0263,4.4193,4.5448,4.2041,4.8064,4.4491,4.4282
SI_SDR,5,4.9955,8.3258,8.134,8.0847,8.4561,8.4766,8.2819
SI_SDR,10,9.9991,11.5108,11.3432,11.3988,11.7408,11.2924,11.582
SI_SDR,15,14.9989,13.6753,13.5566,13.3345,14.0088,13.6192,13.7094
STOI,-5,0.5866,0.5877,0.5933,0.5878,0.5968,0.5903,0.5926
STOI,0,0.6549,0.6617,0.6597,0.6593,0.6648,0.6598,0.6572
STOI,5,0.7153,0.7239,0.719,0.7215,0.7238,0.7243,0.7247
STOI,10,0.774,0.778,0.7746,0.7765,0.78,0.7725,0.7766
STOI,15,0.8137,0.815,0.8111,0.8147,0.815,0.8125,0.8172
DNSMOS_p808_mos,-5,2.4363,2.548,2.5539,2.5604,2.5739,2.5863,2.5741
DNSMOS_p808_mos,0,2.5694,2.6875,2.6909,2.6722,2.6779,2.7083,2.6794
DNSMOS_p808_mos,5,2.7331,2.7795,2.8141,2.826,2.7922,2.8057,2.8011
DNSMOS_p808_mos,10,2.9111,2.9114,2.9619,2.9001,2.9342,2.9424,2.9229
DNSMOS_p808_mos,15,3.0481,3.0678,3.0761,3.072,3.0487,3.0382,3.0679
DNSMOS_mos_sig,-5,3.5517,3.6856,3.7636,3.6746,3.7379,3.7267,3.5972
DNSMOS_mos_sig,0,3.8877,3.5832,3.7385,3.7527,3.6902,3.762,3.7062
DNSMOS_mos_sig,5,3.9827,3.7546,3.7846,3.8696,3.7077,3.6878,3.6596
DNSMOS_mos_sig,10,4.0784,3.8729,3.8935,3.8634,3.9085,3.8408,3.7991
DNSMOS_mos_sig,15,4.0454,3.9658,3.98,4.0196,3.9832,3.9912,3.9186
DNSMOS_mos_bak,-5,1.6733,2.0799,2.1171,2.0734,2.2017,2.2131,2.1649
DNSMOS_mos_bak,0,1.903,2.1954,2.2541,2.2078,2.355,2.3912,2.3117
DNSMOS_mos_bak,5,2.1026,2.4143,2.435,2.4241,2.5025,2.5283,2.3996
DNSMOS_mos_bak,10,2.3277,2.5688,2.6391,2.567,2.7236,2.7483,2.6486
DNSMOS_mos_bak,15,2.518,2.8934,2.9363,2.8951,3.0236,3.0619,3.0503
DNSMOS_mos_ovr,-5,1.9706,2.3191,2.3783,2.2969,2.3967,2.4022,2.3211
DNSMOS_mos_ovr,0,2.2631,2.3075,2.4276,2.4021,2.434,2.5097,2.4435
DNSMOS_mos_ovr,5,2.4361,2.5193,2.5393,2.6053,2.5347,2.5373,2.4612
DNSMOS_mos_ovr,10,2.6382,2.6781,2.7389,2.671,2.7638,2.7283,2.6694
DNSMOS_mos_ovr,15,2.7482,2.9388,2.9583,2.9668,2.9809,3.0043,2.9578
