Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,PESQ
mband_log_N16_F20_O75_FL0p3,Stationary,log,16,20,75,3.1827781200408936,0.882087230682373,17.72175407409668,3.995388625064671,3.1827781200408936
mband_mel_N16_F20_O75_FL0p8,Stationary,mel,16,20,75,3.165712833404541,0.880063533782959,18.356821060180664,3.912546643516761,3.165712833404541
mband_linear_N16_F20_O75_FL0p8,Stationary,linear,16,20,75,3.1633002758026123,0.880007803440094,18.36139297485352,3.915974997280128,3.1633002758026123
mband_log_N8_F20_O75_FL0p3,Stationary,log,8,20,75,3.1632392406463623,0.8760963678359985,17.906970977783203,3.823537894114858,3.1632392406463623
mband_log_N4_F20_O75_FL0p5,Stationary,log,4,20,75,3.15781569480896,0.8803132176399231,17.837753295898438,4.097430171759547,3.15781569480896
mband_log_N16_F20_O75_FL0p001,Stationary,log,16,20,75,3.156196117401123,0.8686186075210571,16.198143005371094,4.058322037366763,3.156196117401123
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,3.1463656425476074,0.8884539604187012,18.02372169494629,4.0005610073214894,3.1463656425476074
mband_mel_N16_F25_O75_FL0p3,Stationary,mel,16,25,75,3.140915632247925,0.8801328539848328,17.81842041015625,3.933414429652865,3.140915632247925
mband_log_N16_F8_O75_FL0p5,Stationary,log,16,8,75,3.136385440826416,0.8738107085227966,19.17186546325684,3.980510375411393,3.136385440826416
mband_log_N4_F20_O75_FL0p3,Stationary,log,4,20,75,3.1362767219543457,0.8847561478614807,17.335628509521484,4.087474202769775,3.1362767219543457
