Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N16_F20_O75_FL0p3,Stationary,log,16,20,75,3.1827781200408936,0.882087230682373,17.72175407409668,3.995388625064671,0.8093214273452759
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,3.1463656425476074,0.8884539604187012,18.02372169494629,4.0005610073214894,0.8088635444641114
mband_log_N8_F25_O75_FL0p001,Stationary,log,8,25,75,3.1319258213043213,0.888892650604248,16.257593154907227,4.14601095861582,0.8076389074325562
mband_mel_N16_F20_O75_FL0p8,Stationary,mel,16,20,75,3.165712833404541,0.880063533782959,18.356821060180664,3.912546643516761,0.8066030502319336
mband_linear_N16_F20_O75_FL0p8,Stationary,linear,16,20,75,3.1633002758026123,0.880007803440094,18.36139297485352,3.915974997280128,0.8063339293003082
mband_log_N4_F20_O75_FL0p3,Stationary,log,4,20,75,3.1362767219543457,0.8847561478614807,17.335628509521484,4.087474202769775,0.8060057461261749
mband_log_N4_F20_O75_FL0p5,Stationary,log,4,20,75,3.15781569480896,0.8803132176399231,17.837753295898438,4.097430171759547,0.8059381783008576
mband_log_N16_F20_O75_FL0p8,Stationary,log,16,20,75,3.135329008102417,0.8842789530754089,18.81893348693848,3.924718855386535,0.8056723773479462
mband_log_N8_F20_O75_FL0p3,Stationary,log,8,20,75,3.1632392406463623,0.8760963678359985,17.906970977783203,3.823537894114858,0.8043721079826355
mband_mel_N16_F25_O75_FL0p3,Stationary,mel,16,25,75,3.140915632247925,0.8801328539848328,17.81842041015625,3.933414429652865,0.8041579902172089
