Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,STOI
mband_log_N8_F25_O75_FL0p001,Stationary,log,8,25,75,3.1319258213043213,0.888892650604248,16.257593154907227,4.14601095861582,0.888892650604248
mband_log_N8_F20_O75_FL0p5,Stationary,log,8,20,75,3.1463656425476074,0.8884539604187012,18.02372169494629,4.0005610073214894,0.8884539604187012
mband_mel_N4_F20_O75_FL0p3,Stationary,mel,4,20,75,3.097607612609864,0.8857122659683228,17.723220825195312,4.009688154922255,0.8857122659683228
mband_linear_N4_F20_O75_FL0p3,Stationary,linear,4,20,75,3.0975499153137207,0.8856273889541626,17.725414276123047,4.008656527103338,0.8856273889541626
mband_mel_N8_F25_O75_FL0p3,Stationary,mel,8,25,75,3.0713891983032227,0.8854199051856995,17.214492797851562,3.9511193167778127,0.8854199051856995
mband_linear_N8_F25_O75_FL0p3,Stationary,linear,8,25,75,3.072926521301269,0.885395884513855,17.216733932495117,3.945399152712062,0.885395884513855
mband_mel_N16_F25_O75_FL0p7,Stationary,mel,16,25,75,3.0351147651672363,0.8851348161697388,18.30398941040039,4.08734930109382,0.8851348161697388
mband_mel_N8_F25_O50_FL0p8,Stationary,mel,8,25,50,2.882829427719116,0.8850705623626709,16.053394317626953,4.255099278725006,0.8850705623626709
mband_linear_N8_F25_O50_FL0p8,Stationary,linear,8,25,50,2.882429838180542,0.8850620985031128,16.053882598876953,4.255857639056078,0.8850620985031128
mband_linear_N16_F25_O75_FL0p7,Stationary,linear,16,25,75,3.030703067779541,0.8849272727966309,18.30869483947754,4.081890895308315,0.8849272727966309
