Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,SI_SDR
mband_linear_N4_F8_O75_FL0p7,Stationary,linear,4,8,75,2.9840149879455566,0.8789690136909485,20.095645904541016,3.871060164292516,20.095645904541016
mband_mel_N4_F8_O75_FL0p7,Stationary,mel,4,8,75,2.983936548233032,0.8790122270584106,20.093425750732425,3.865816254931843,20.093425750732425
mband_log_N4_F8_O75_FL0p8,Stationary,log,4,8,75,3.038922071456909,0.8771982192993164,19.743932723999023,3.9424129065637454,19.743932723999023
mband_log_N4_F8_O75_FL0p7,Stationary,log,4,8,75,3.004889965057373,0.8717189431190491,19.70047187805176,3.8375252286261192,19.70047187805176
mband_linear_N4_F20_O75_FL0p8,Stationary,linear,4,20,75,3.03143572807312,0.8793049454689026,19.55793190002441,3.9630926728238713,19.55793190002441
mband_mel_N4_F20_O75_FL0p8,Stationary,mel,4,20,75,3.031597137451172,0.8793044686317444,19.55648803710937,3.965197900593273,19.55648803710937
mband_log_N8_F8_O75_FL0p8,Street,log,8,8,75,2.6114327907562256,0.8425543904304504,19.50241470336914,3.842373035302373,19.50241470336914
mband_linear_N4_F8_O75_FL0p8,Train,linear,4,8,75,2.5706944465637207,0.8423943519592285,19.502361297607425,3.895309617101445,19.502361297607425
mband_mel_N4_F8_O75_FL0p8,Train,mel,4,8,75,2.5714335441589355,0.8424464464187622,19.50134658813477,3.893250710352674,19.50134658813477
mband_linear_N8_F8_O75_FL0p8,Train,linear,8,8,75,2.6151247024536133,0.846329927444458,19.43214225769043,3.88016703174661,19.43214225769043
