method,threshold,tpr_sensitivity,fpr,specificity,precision,f1_score
Youden_J (ROC),0.5494554042816162,0.7904591879099893,0.15202124520507523,0.8479787547949248,,
Max F1 (PR),0.48994094133377075,0.8805945362451216,,,0.8153850589626042,0.8467361633889167
Default,0.5,,,,,
