,precision,recall,f1,accuracy
Zero-Crossing Rate VAD,0.9046158898780107,0.9956138521638793,0.9479360215489642,0.9015397805319925
Multi-Band VAD (Kamath 2002),0.9049363737884825,0.9125099053259373,0.9087073596190054,0.8349327734510672
Spectral Entropy VAD,0.9172243834893842,0.773553822413146,0.8392850409140616,0.7332841037450992
Wiener-AS VAD (Scalart 1996),0.9041662084387257,0.6857891590552057,0.7799808679015566,0.651679803248527
GRU-VAD (proposed),0.9740362339728191,0.6341980509098998,0.7682113071556975,0.655453376346643
Energy-Based VAD,0.9544750230541946,0.5288053829364252,0.6805611778203703,0.553081907813424
