SNR_dB,Noise_File,Participant,Method,FLOOR,FRMSZ,Nband,AVRGING,Noisefr,VAD,PESQ,STOI,SI_SDR,Weighted_Score,PESQ_improvement,STOI_improvement,SI_SDR_improvement,Status
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,4,1,1,0,1.2663791179656982,0.7081438302993774,4.133131980895996,0.5307098269462586,0.09591782093048096,-0.018269836902618408,-0.4108004570007324,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,4,1,1,1,1.270241379737854,0.7071946859359741,4.116453170776367,0.5306214809417724,0.09978008270263672,-0.01921898126602173,-0.42747926712036133,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,4,1,3,0,1.250345230102539,0.7064488530158997,4.54359245300293,0.5282589495182037,0.07988393306732178,-0.01996481418609619,-0.0003399848937988281,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,4,1,3,1,1.1597007513046265,0.7205474972724915,4.607786655426025,0.5262438237667084,-0.01076054573059082,-0.0058661699295043945,0.06385421752929688,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,8,1,1,0,1.2749851942062378,0.7083427906036377,4.115047931671143,0.5316699147224426,0.10452389717102051,-0.018070876598358154,-0.42888450622558594,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,8,1,1,1,1.2727508544921875,0.707395076751709,4.098445892333984,0.5309726238250733,0.10228955745697021,-0.019018590450286865,-0.44548654556274414,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,8,1,3,0,1.2542864084243774,0.7065043449401855,4.531169414520264,0.5286808133125305,0.08382511138916016,-0.019909322261810303,-0.012763023376464844,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,8,8,1,3,1,1.1597424745559692,0.7207325100898743,4.60698127746582,0.5263405025005341,-0.010718822479248047,-0.005681157112121582,0.0630488395690918,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,4,1,1,0,1.2115004062652588,0.7080956101417542,4.515312671661377,0.5251978456974029,0.041039109230041504,-0.0183180570602417,-0.028619766235351562,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,4,1,1,1,1.169329285621643,0.7260469794273376,4.5708723068237305,0.5299564182758332,-0.0011320114135742188,-0.0003666877746582031,0.026939868927001953,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,4,1,3,0,1.2173911333084106,0.712297260761261,4.466231822967529,0.5278877437114715,0.04692983627319336,-0.014116406440734863,-0.07770061492919922,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,4,1,3,1,1.1694175004959106,0.7260748744010925,4.570919036865234,0.5299791872501374,-0.0010437965393066406,-0.0003387928009033203,0.02698659896850586,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.002,20,8,1,1,0,1.2133488655090332,0.708461344242096,4.509947776794434,0.5255655586719513,0.04288756847381592,-0.017952322959899902,-0.03398466110229492,Success
