SNR_dB,Noise_File,Participant,Method,PESQ,STOI,SI_SDR,Weighted_Score
-5,Car Noise_60mph,p092,GTCRN_only,1.1704612970352173,0.7264136672019958,4.5439324378967285,0.5302529633045197
-5,Car Noise_Idle Noise_40mph,p092,GTCRN_only,1.3080815076828003,0.638462483882904,5.705422401428223,0.5000393927097321
-5,Car Noise_Idle Noise_60mph,p092,GTCRN_only,1.2846325635910034,0.6796707510948181,6.741082191467285,0.5182986319065094
-5,Construction_Crane_Moving,p092,GTCRN_only,1.3469465970993042,0.648516058921814,7.689560890197754,0.5089526891708374
-5,Construction_Drilling,p092,GTCRN_only,1.0771369934082031,0.510724663734436,0.801166832447052,0.4130760312080383
-5,Construction_Jackhammer1,p092,GTCRN_only,1.3585789203643799,0.7499169111251831,6.051993370056152,0.5608163475990295
-5,Construction_Jackhammer2,p092,GTCRN_only,1.1452887058258057,0.6058000922203064,2.7340805530548096,0.4674289166927338
-5,Construction_Trucks_Unloading,p092,GTCRN_only,1.1245898008346558,0.5402969121932983,-0.22578772902488708,0.43260743618011477
-5,Inside Flight,p092,GTCRN_only,1.2791759967803955,0.5772238969802856,5.621870994567871,0.4665295481681824
-5,Inside Train_1,p092,GTCRN_only,1.4789221286773682,0.4262981712818146,4.869771480560303,0.4110412985086441
-5,Inside Train_2,p092,GTCRN_only,1.201784372329712,0.6902126669883728,2.194370985031128,0.5152847707271576
-5,Inside Train_3,p092,GTCRN_only,1.221895456314087,0.6647897958755493,3.497002363204956,0.5045844435691833
-5,PC Fan Noise,p092,GTCRN_only,1.2702373266220093,0.5708139538764954,7.922144412994385,0.46243070960044863
-5,SSN_IEEE,p092,GTCRN_only,1.1221981048583984,0.5104374289512634,3.4023940563201904,0.41743852496147155
-5,Street Noise,p092,GTCRN_only,1.1753675937652588,0.5891059637069702,4.921195030212402,0.462089741230011
-5,Street Noise_downtown,p092,GTCRN_only,1.2290053367614746,0.5977275967597961,4.919653415679932,0.4717643320560455
-5,Train1,p092,GTCRN_only,1.1886910200119019,0.595608115196228,2.7908473014831543,0.4666731595993042
-5,Train2,p092,GTCRN_only,1.2074904441833496,0.6357022523880005,4.193592548370361,0.4886001706123352
-5,Water Cooler,p092,GTCRN_only,1.39644193649292,0.7011688351631165,6.3451690673828125,0.5402286112308502
-5,cafeteria_babble,p092,GTCRN_only,1.2157965898513794,0.491163045167923,-0.8250459432601929,0.4171611815690994
0,Car Noise_60mph,p092,GTCRN_only,1.4268367290496826,0.7791580557823181,7.822551250457764,0.5822627007961273
0,Car Noise_Idle Noise_40mph,p092,GTCRN_only,1.4732930660247803,0.7059932351112366,8.902826309204102,0.5503259241580963
0,Car Noise_Idle Noise_60mph,p092,GTCRN_only,1.5084326267242432,0.739563524723053,10.28576374053955,0.5706250250339509
0,Construction_Crane_Moving,p092,GTCRN_only,1.5384142398834229,0.7102534770965576,10.728504180908203,0.5589681625366211
0,Construction_Drilling,p092,GTCRN_only,1.1679255962371826,0.5619106292724609,3.5907607078552246,0.4477478742599487
0,Construction_Jackhammer1,p092,GTCRN_only,1.568235158920288,0.8254440426826477,8.99696159362793,0.6195455372333527
0,Construction_Jackhammer2,p092,GTCRN_only,1.2269062995910645,0.665929913520813,5.659389972686768,0.5056555867195129
0,Construction_Trucks_Unloading,p092,GTCRN_only,1.2372065782546997,0.6752345561981201,3.1823744773864746,0.51133793592453
0,Inside Flight,p092,GTCRN_only,1.5637032985687256,0.6535539627075195,9.037686347961426,0.5331473112106323
0,Inside Train_1,p092,GTCRN_only,1.714613437652588,0.4867781102657318,8.682638168334961,0.4648503988981247
0,Inside Train_2,p092,GTCRN_only,1.5512346029281616,0.7634403705596924,7.4675726890563965,0.5868436455726623
0,Inside Train_3,p092,GTCRN_only,1.3623038530349731,0.708459734916687,7.560031890869141,0.5404602527618408
0,PC Fan Noise,p092,GTCRN_only,1.3940534591674805,0.621211588382721,9.202142715454102,0.5000111401081085
0,SSN_IEEE,p092,GTCRN_only,1.2447377443313599,0.5727046728134155,6.1267499923706055,0.46082611083984376
0,Street Noise,p092,GTCRN_only,1.2901976108551025,0.6629214882850647,7.3399457931518555,0.5104805052280426
0,Street Noise_downtown,p092,GTCRN_only,1.4302194118499756,0.6663188338279724,9.022323608398438,0.5261813580989838
0,Train1,p092,GTCRN_only,1.339551568031311,0.7383167743682861,8.442577362060547,0.5531135439872742
0,Train2,p092,GTCRN_only,1.394335150718689,0.6701380014419556,7.881438255310059,0.5245025157928467
0,Water Cooler,p092,GTCRN_only,1.5966929197311401,0.7634884715080261,9.280108451843262,0.5914135277271271
0,cafeteria_babble,p092,GTCRN_only,1.3376611471176147,0.6065714955329895,5.185493469238281,0.4870518624782562
5,Car Noise_60mph,p092,GTCRN_only,1.619964599609375,0.8207654356956482,10.715106964111328,0.6223791778087616
5,Car Noise_Idle Noise_40mph,p092,GTCRN_only,1.821821928024292,0.7565070986747742,12.605302810668945,0.6104357421398163
5,Car Noise_Idle Noise_60mph,p092,GTCRN_only,1.783109188079834,0.8091179728507996,13.684596061706543,0.6328699052333832
5,Construction_Crane_Moving,p092,GTCRN_only,1.6214691400527954,0.7441668510437012,12.562368392944336,0.5842303395271301
5,Construction_Drilling,p092,GTCRN_only,1.2946985960006714,0.6627810001373291,7.18499755859375,0.5108603596687317
5,Construction_Jackhammer1,p092,GTCRN_only,1.6254889965057373,0.8470469117164612,11.81556510925293,0.6360723555088044
