Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p5,linear,16,20,25,0.5,1,1.4533,0.7466,8.0552,3.5784
mband_linear_N16_F20_O25_FL0p7,linear,16,20,25,0.7,1,1.5023,0.7475,8.2928,3.2679
mband_linear_N16_F20_O25_FL0p8,linear,16,20,25,0.8,1,1.4266,0.7529,8.3214,2.918
mband_linear_N16_F20_O50_FL0p5,linear,16,20,50,0.5,1,1.5128,0.738,8.4162,3.3591
mband_linear_N16_F20_O50_FL0p7,linear,16,20,50,0.7,1,1.5509,0.7416,9.3085,3.4803
mband_linear_N16_F20_O50_FL0p8,linear,16,20,50,0.8,1,1.4956,0.7516,9.2634,3.0389
mband_linear_N16_F20_O75_FL0p5,linear,16,20,75,0.5,1,1.542,0.7354,9.6937,2.9811
mband_linear_N16_F20_O75_FL0p7,linear,16,20,75,0.7,1,1.5334,0.7547,9.1585,2.8996
mband_linear_N16_F20_O75_FL0p8,linear,16,20,75,0.8,1,1.4659,0.7397,9.4409,2.4931
mband_linear_N16_F25_O25_FL0p5,linear,16,25,25,0.5,1,1.4974,0.7418,7.4857,3.0875
mband_linear_N16_F25_O25_FL0p7,linear,16,25,25,0.7,1,1.3961,0.741,7.4886,3.5115
mband_linear_N16_F25_O25_FL0p8,linear,16,25,25,0.8,1,1.3577,0.737,7.1855,3.3683
mband_linear_N16_F25_O50_FL0p5,linear,16,25,50,0.5,1,1.5077,0.736,8.7979,3.3331
mband_linear_N16_F25_O50_FL0p7,linear,16,25,50,0.7,1,1.4828,0.7351,9.0578,3.1322
mband_linear_N16_F25_O50_FL0p8,linear,16,25,50,0.8,1,1.4703,0.7479,8.7704,3.3729
mband_linear_N16_F25_O75_FL0p5,linear,16,25,75,0.5,1,1.4748,0.7369,9.1312,2.9812
mband_linear_N16_F25_O75_FL0p7,linear,16,25,75,0.7,1,1.5333,0.7387,9.3873,3.1163
mband_linear_N16_F25_O75_FL0p8,linear,16,25,75,0.8,1,1.4911,0.7652,9.0428,2.956
mband_linear_N16_F8_O25_FL0p5,linear,16,8,25,0.5,1,1.4233,0.745,8.6777,3.0782
mband_linear_N16_F8_O25_FL0p7,linear,16,8,25,0.7,1,1.4567,0.7281,8.8115,2.7997
mband_linear_N16_F8_O25_FL0p8,linear,16,8,25,0.8,1,1.3849,0.7542,8.5529,2.5533
mband_linear_N16_F8_O50_FL0p5,linear,16,8,50,0.5,1,1.4716,0.7385,8.9925,3.1969
mband_linear_N16_F8_O50_FL0p7,linear,16,8,50,0.7,1,1.4626,0.7318,9.0728,3.1982
mband_linear_N16_F8_O50_FL0p8,linear,16,8,50,0.8,1,1.4393,0.7265,9.1695,2.9719
mband_linear_N16_F8_O75_FL0p5,linear,16,8,75,0.5,1,1.4843,0.737,8.984,2.8145
mband_linear_N16_F8_O75_FL0p7,linear,16,8,75,0.7,1,1.5394,0.7572,9.5741,2.8346
mband_linear_N16_F8_O75_FL0p8,linear,16,8,75,0.8,1,1.4269,0.7354,9.2134,2.8351
mband_linear_N4_F20_O25_FL0p5,linear,4,20,25,0.5,1,1.4058,0.7368,7.9159,3.0894
mband_linear_N4_F20_O25_FL0p7,linear,4,20,25,0.7,1,1.4241,0.742,8.2072,3.3507
