Noise_Category,Metric,Baseline_Noisy,Wiener_Filter,Spectral_Subtraction,SS_B4FRAME_CHANGE
Babble/SSN,PESQ,1.168,1.536 (+0.368),1.459 (+0.291),1.525 (+0.357)
Babble/SSN,SI_SDR,4.967,11.117 (+6.150),9.157 (+4.190),9.810 (+4.843)
Babble/SSN,STOI,0.648,0.720 (+0.073),0.725 (+0.077),0.723 (+0.075)
Babble/SSN,DNSMOS_mos_ovr,2.681,2.385 (-0.296),2.706 (+0.025),2.673 (-0.008)
Car,PESQ,1.152,1.291 (+0.138),1.318 (+0.166),1.294 (+0.142)
Car,SI_SDR,5.010,8.918 (+3.908),7.955 (+2.945),7.857 (+2.846)
Car,STOI,0.775,0.738 (-0.037),0.749 (-0.025),0.741 (-0.034)
Car,DNSMOS_mos_ovr,2.696,2.049 (-0.647),2.307 (-0.389),2.283 (-0.413)
Construction,PESQ,1.124,1.188 (+0.064),1.176 (+0.052),1.178 (+0.054)
Construction,SI_SDR,4.996,7.525 (+2.529),6.749 (+1.753),7.124 (+2.128)
Construction,STOI,0.729,0.727 (-0.002),0.730 (+0.002),0.729 (+0.001)
Construction,DNSMOS_mos_ovr,2.097,1.723 (-0.374),1.998 (-0.099),1.974 (-0.123)
Stationary,PESQ,1.173,1.276 (+0.103),1.263 (+0.090),1.272 (+0.099)
Stationary,SI_SDR,5.000,7.519 (+2.519),7.147 (+2.147),7.785 (+2.785)
Stationary,STOI,0.719,0.694 (-0.025),0.690 (-0.029),0.694 (-0.024)
Stationary,DNSMOS_mos_ovr,2.742,1.997 (-0.745),2.132 (-0.611),2.238 (-0.505)
Street,PESQ,1.130,1.346 (+0.216),1.308 (+0.178),1.266 (+0.136)
Street,SI_SDR,5.001,8.922 (+3.921),7.909 (+2.907),8.326 (+3.325)
Street,STOI,0.699,0.680 (-0.019),0.689 (-0.010),0.696 (-0.003)
Street,DNSMOS_mos_ovr,2.622,1.774 (-0.848),2.205 (-0.417),2.229 (-0.392)
Train,PESQ,1.262,1.339 (+0.077),1.346 (+0.084),1.379 (+0.117)
Train,SI_SDR,5.003,7.207 (+2.204),7.045 (+2.043),8.161 (+3.158)
Train,STOI,0.696,0.678 (-0.017),0.685 (-0.011),0.696 (+0.000)
Train,DNSMOS_mos_ovr,2.488,2.269 (-0.219),2.471 (-0.017),2.572 (+0.084)
