config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_linear_N4_F8_O25_FL0p001,47.45468735694885,standalone,linear,4,8,25,1,0.001,1,1
mband_linear_N4_F8_O25_FL0p02,31.772711515426636,standalone,linear,4,8,25,1,0.02,1,1
mband_linear_N4_F8_O25_FL0p2,24.168589115142822,standalone,linear,4,8,25,1,0.2,1,1
mband_linear_N4_F8_O25_FL0p001,31.240866661071777,standalone,linear,4,8,25,3,0.001,1,1
mband_linear_N4_F8_O25_FL0p02,23.936503648757935,standalone,linear,4,8,25,3,0.02,1,1
mband_linear_N4_F8_O25_FL0p2,31.194520711898804,standalone,linear,4,8,25,3,0.2,1,1
mband_linear_N4_F8_O50_FL0p001,31.917173624038696,standalone,linear,4,8,50,1,0.001,1,1
mband_linear_N4_F8_O50_FL0p02,31.594475746154785,standalone,linear,4,8,50,1,0.02,1,1
mband_linear_N4_F8_O50_FL0p2,36.85501170158386,standalone,linear,4,8,50,1,0.2,1,1
mband_linear_N4_F8_O50_FL0p001,29.06750249862671,standalone,linear,4,8,50,3,0.001,1,1
mband_linear_N4_F8_O50_FL0p02,36.01422476768494,standalone,linear,4,8,50,3,0.02,1,1
mband_linear_N4_F8_O50_FL0p2,29.111321926116943,standalone,linear,4,8,50,3,0.2,1,1
mband_linear_N4_F8_O75_FL0p001,52.133946895599365,standalone,linear,4,8,75,1,0.001,1,1
mband_linear_N4_F8_O75_FL0p02,46.16784477233887,standalone,linear,4,8,75,1,0.02,1,1
mband_linear_N4_F8_O75_FL0p2,48.99113750457764,standalone,linear,4,8,75,1,0.2,1,1
mband_linear_N4_F8_O75_FL0p001,49.86120009422302,standalone,linear,4,8,75,3,0.001,1,1
mband_linear_N4_F8_O75_FL0p02,45.78626489639282,standalone,linear,4,8,75,3,0.02,1,1
mband_linear_N4_F8_O75_FL0p2,49.04031467437744,standalone,linear,4,8,75,3,0.2,1,1
mband_linear_N4_F20_O25_FL0p001,21.37347960472107,standalone,linear,4,20,25,1,0.001,1,1
mband_linear_N4_F20_O25_FL0p02,24.025298833847046,standalone,linear,4,20,25,1,0.02,1,1
mband_linear_N4_F20_O25_FL0p2,21.1796452999115,standalone,linear,4,20,25,1,0.2,1,1
mband_linear_N4_F20_O25_FL0p001,23.87990689277649,standalone,linear,4,20,25,3,0.001,1,1
mband_linear_N4_F20_O25_FL0p02,19.692859172821045,standalone,linear,4,20,25,3,0.02,1,1
mband_linear_N4_F20_O25_FL0p2,24.67496109008789,standalone,linear,4,20,25,3,0.2,1,1
mband_linear_N4_F20_O50_FL0p001,27.487026691436768,standalone,linear,4,20,50,1,0.001,1,1
mband_linear_N4_F20_O50_FL0p02,21.866158723831177,standalone,linear,4,20,50,1,0.02,1,1
mband_linear_N4_F20_O50_FL0p2,28.747206211090088,standalone,linear,4,20,50,1,0.2,1,1
mband_linear_N4_F20_O50_FL0p001,20.17111611366272,standalone,linear,4,20,50,3,0.001,1,1
mband_linear_N4_F20_O50_FL0p02,29.344926357269287,standalone,linear,4,20,50,3,0.02,1,1
mband_linear_N4_F20_O50_FL0p2,21.826271533966064,standalone,linear,4,20,50,3,0.2,1,1
mband_linear_N4_F20_O75_FL0p001,37.433348655700684,standalone,linear,4,20,75,1,0.001,1,1
mband_linear_N4_F20_O75_FL0p02,29.98279309272766,standalone,linear,4,20,75,1,0.02,1,1
mband_linear_N4_F20_O75_FL0p2,35.519421339035034,standalone,linear,4,20,75,1,0.2,1,1
mband_linear_N4_F20_O75_FL0p001,32.04101037979126,standalone,linear,4,20,75,3,0.001,1,1
mband_linear_N4_F20_O75_FL0p02,34.406184673309326,standalone,linear,4,20,75,3,0.02,1,1
mband_linear_N4_F20_O75_FL0p2,35.47083830833435,standalone,linear,4,20,75,3,0.2,1,1
mband_linear_N4_F25_O25_FL0p001,20.520617485046387,standalone,linear,4,25,25,1,0.001,1,1
mband_linear_N4_F25_O25_FL0p02,26.03915524482727,standalone,linear,4,25,25,1,0.02,1,1
mband_linear_N4_F25_O25_FL0p2,21.336331605911255,standalone,linear,4,25,25,1,0.2,1,1
mband_linear_N4_F25_O25_FL0p001,23.947035312652588,standalone,linear,4,25,25,3,0.001,1,1
mband_linear_N4_F25_O25_FL0p02,19.377389669418335,standalone,linear,4,25,25,3,0.02,1,1
mband_linear_N4_F25_O25_FL0p2,25.770419597625732,standalone,linear,4,25,25,3,0.2,1,1
mband_linear_N4_F25_O50_FL0p001,20.180243015289307,standalone,linear,4,25,50,1,0.001,1,1
mband_linear_N4_F25_O50_FL0p02,26.44615340232849,standalone,linear,4,25,50,1,0.02,1,1
mband_linear_N4_F25_O50_FL0p2,21.815431356430054,standalone,linear,4,25,50,1,0.2,1,1
mband_linear_N4_F25_O50_FL0p001,25.579384803771973,standalone,linear,4,25,50,3,0.001,1,1
mband_linear_N4_F25_O50_FL0p02,24.152174949645996,standalone,linear,4,25,50,3,0.02,1,1
mband_linear_N4_F25_O50_FL0p2,22.99814462661743,standalone,linear,4,25,50,3,0.2,1,1
mband_linear_N4_F25_O75_FL0p001,33.391823053359985,standalone,linear,4,25,75,1,0.001,1,1
mband_linear_N4_F25_O75_FL0p02,25.25674295425415,standalone,linear,4,25,75,1,0.02,1,1
mband_linear_N4_F25_O75_FL0p2,32.43484044075012,standalone,linear,4,25,75,1,0.2,1,1
mband_linear_N4_F25_O75_FL0p001,25.160772562026978,standalone,linear,4,25,75,3,0.001,1,1
mband_linear_N4_F25_O75_FL0p02,31.842506170272827,standalone,linear,4,25,75,3,0.02,1,1
mband_linear_N4_F25_O75_FL0p2,24.304983377456665,standalone,linear,4,25,75,3,0.2,1,1
mband_linear_N8_F8_O25_FL0p001,34.448899269104004,standalone,linear,8,8,25,1,0.001,1,1
mband_linear_N8_F8_O25_FL0p02,28.91357731819153,standalone,linear,8,8,25,1,0.02,1,1
mband_linear_N8_F8_O25_FL0p2,30.682662963867188,standalone,linear,8,8,25,1,0.2,1,1
mband_linear_N8_F8_O25_FL0p001,31.59928059577942,standalone,linear,8,8,25,3,0.001,1,1
mband_linear_N8_F8_O25_FL0p02,31.230690240859985,standalone,linear,8,8,25,3,0.02,1,1
mband_linear_N8_F8_O25_FL0p2,30.387261629104614,standalone,linear,8,8,25,3,0.2,1,1
mband_linear_N8_F8_O50_FL0p001,39.51946997642517,standalone,linear,8,8,50,1,0.001,1,1
mband_linear_N8_F8_O50_FL0p02,35.87901210784912,standalone,linear,8,8,50,1,0.02,1,1
mband_linear_N8_F8_O50_FL0p2,41.71632099151611,standalone,linear,8,8,50,1,0.2,1,1
mband_linear_N8_F8_O50_FL0p001,34.905189037323,standalone,linear,8,8,50,3,0.001,1,1
mband_linear_N8_F8_O50_FL0p02,39.18763756752014,standalone,linear,8,8,50,3,0.02,1,1
mband_linear_N8_F8_O50_FL0p2,38.43605828285217,standalone,linear,8,8,50,3,0.2,1,1
mband_linear_N8_F8_O75_FL0p001,55.85976600646973,standalone,linear,8,8,75,1,0.001,1,1
mband_linear_N8_F8_O75_FL0p02,58.09729337692261,standalone,linear,8,8,75,1,0.02,1,1
mband_linear_N8_F8_O75_FL0p2,59.242207765579224,standalone,linear,8,8,75,1,0.2,1,1
mband_linear_N8_F8_O75_FL0p001,56.23209834098816,standalone,linear,8,8,75,3,0.001,1,1
mband_linear_N8_F8_O75_FL0p02,58.02541780471802,standalone,linear,8,8,75,3,0.02,1,1
mband_linear_N8_F8_O75_FL0p2,61.32925009727478,standalone,linear,8,8,75,3,0.2,1,1
mband_linear_N8_F20_O25_FL0p001,20.216388940811157,standalone,linear,8,20,25,1,0.001,1,1
mband_linear_N8_F20_O25_FL0p02,27.71946883201599,standalone,linear,8,20,25,1,0.02,1,1
mband_linear_N8_F20_O25_FL0p2,20.920391082763672,standalone,linear,8,20,25,1,0.2,1,1
mband_linear_N8_F20_O25_FL0p001,25.96085214614868,standalone,linear,8,20,25,3,0.001,1,1
mband_linear_N8_F20_O25_FL0p02,20.368349313735962,standalone,linear,8,20,25,3,0.02,1,1
mband_linear_N8_F20_O25_FL0p2,26.600069046020508,standalone,linear,8,20,25,3,0.2,1,1
mband_linear_N8_F20_O50_FL0p001,23.905098915100098,standalone,linear,8,20,50,1,0.001,1,1
mband_linear_N8_F20_O50_FL0p02,30.587663412094116,standalone,linear,8,20,50,1,0.02,1,1
mband_linear_N8_F20_O50_FL0p2,24.12772846221924,standalone,linear,8,20,50,1,0.2,1,1
mband_linear_N8_F20_O50_FL0p001,26.34834575653076,standalone,linear,8,20,50,3,0.001,1,1
mband_linear_N8_F20_O50_FL0p02,29.38165807723999,standalone,linear,8,20,50,3,0.02,1,1
mband_linear_N8_F20_O50_FL0p2,23.654581546783447,standalone,linear,8,20,50,3,0.2,1,1
mband_linear_N8_F20_O75_FL0p001,38.13723373413086,standalone,linear,8,20,75,1,0.001,1,1
mband_linear_N8_F20_O75_FL0p02,32.89411115646362,standalone,linear,8,20,75,1,0.02,1,1
mband_linear_N8_F20_O75_FL0p2,40.18308448791504,standalone,linear,8,20,75,1,0.2,1,1
mband_linear_N8_F20_O75_FL0p001,30.999584436416626,standalone,linear,8,20,75,3,0.001,1,1
mband_linear_N8_F20_O75_FL0p02,38.85940885543823,standalone,linear,8,20,75,3,0.02,1,1
mband_linear_N8_F20_O75_FL0p2,33.38809275627136,standalone,linear,8,20,75,3,0.2,1,1
mband_linear_N8_F25_O25_FL0p001,24.7366886138916,standalone,linear,8,25,25,1,0.001,1,1
mband_linear_N8_F25_O25_FL0p02,24.238842964172363,standalone,linear,8,25,25,1,0.02,1,1
mband_linear_N8_F25_O25_FL0p2,19.227301120758057,standalone,linear,8,25,25,1,0.2,1,1
mband_linear_N8_F25_O25_FL0p001,25.244882345199585,standalone,linear,8,25,25,3,0.001,1,1
mband_linear_N8_F25_O25_FL0p02,20.680826425552368,standalone,linear,8,25,25,3,0.02,1,1
mband_linear_N8_F25_O25_FL0p2,22.867624044418335,standalone,linear,8,25,25,3,0.2,1,1
mband_linear_N8_F25_O50_FL0p001,23.96842622756958,standalone,linear,8,25,50,1,0.001,1,1
mband_linear_N8_F25_O50_FL0p02,26.663269519805908,standalone,linear,8,25,50,1,0.02,1,1
mband_linear_N8_F25_O50_FL0p2,23.967431783676147,standalone,linear,8,25,50,1,0.2,1,1
mband_linear_N8_F25_O50_FL0p001,25.328739404678345,standalone,linear,8,25,50,3,0.001,1,1
mband_linear_N8_F25_O50_FL0p02,24.714776039123535,standalone,linear,8,25,50,3,0.02,1,1
mband_linear_N8_F25_O50_FL0p2,23.47483491897583,standalone,linear,8,25,50,3,0.2,1,1
mband_linear_N8_F25_O75_FL0p001,32.21142315864563,standalone,linear,8,25,75,1,0.001,1,1
mband_linear_N8_F25_O75_FL0p02,36.34764099121094,standalone,linear,8,25,75,1,0.02,1,1
mband_linear_N8_F25_O75_FL0p2,30.486371755599976,standalone,linear,8,25,75,1,0.2,1,1
mband_linear_N8_F25_O75_FL0p001,34.41464281082153,standalone,linear,8,25,75,3,0.001,1,1
mband_linear_N8_F25_O75_FL0p02,29.216310024261475,standalone,linear,8,25,75,3,0.02,1,1
mband_linear_N8_F25_O75_FL0p2,34.78309488296509,standalone,linear,8,25,75,3,0.2,1,1
mband_linear_N16_F8_O25_FL0p001,34.77353477478027,standalone,linear,16,8,25,1,0.001,1,1
mband_linear_N16_F8_O25_FL0p02,38.05225944519043,standalone,linear,16,8,25,1,0.02,1,1
mband_linear_N16_F8_O25_FL0p2,41.01123833656311,standalone,linear,16,8,25,1,0.2,1,1
mband_linear_N16_F8_O25_FL0p001,37.47500562667847,standalone,linear,16,8,25,3,0.001,1,1
mband_linear_N16_F8_O25_FL0p02,34.74156212806702,standalone,linear,16,8,25,3,0.02,1,1
mband_linear_N16_F8_O25_FL0p2,39.742242097854614,standalone,linear,16,8,25,3,0.2,1,1
mband_linear_N16_F8_O50_FL0p001,44.45195531845093,standalone,linear,16,8,50,1,0.001,1,1
mband_linear_N16_F8_O50_FL0p02,56.34322643280029,standalone,linear,16,8,50,1,0.02,1,1
mband_linear_N16_F8_O50_FL0p2,44.60801553726196,standalone,linear,16,8,50,1,0.2,1,1
mband_linear_N16_F8_O50_FL0p001,50.7172589302063,standalone,linear,16,8,50,3,0.001,1,1
mband_linear_N16_F8_O50_FL0p02,48.42144322395325,standalone,linear,16,8,50,3,0.02,1,1
mband_linear_N16_F8_O50_FL0p2,42.81707549095154,standalone,linear,16,8,50,3,0.2,1,1
mband_linear_N16_F8_O75_FL0p001,81.58714556694031,standalone,linear,16,8,75,1,0.001,1,1
