Noise_Category,Metric,Baseline_Noisy,GTCRN_baseline,GTCRN_SS,SS_GTCRN,GTCRN_SS_wovad_lowerfloor,GTCRN_WF
Babble/SSN,PESQ,1.372,1.592 (+0.220),1.507 (+0.135),1.963 (+0.590),2.100 (+0.728),2.038 (+0.666)
Babble/SSN,SI_SDR,9.995,9.456 (-0.539),8.860 (-1.135),12.585 (+2.590),13.891 (+3.896),14.536 (+4.541)
Babble/SSN,STOI,0.702,0.681 (-0.021),0.666 (-0.036),0.737 (+0.035),0.751 (+0.049),0.740 (+0.038)
Babble/SSN,DNSMOS_mos_ovr,2.843,2.931 (+0.088),2.746 (-0.097),3.210 (+0.367),3.551 (+0.707),2.903 (+0.060)
Stationary,PESQ,1.354,1.886 (+0.532),1.818 (+0.464),1.349 (-0.005),1.501 (+0.147),1.425 (+0.071)
Stationary,SI_SDR,10.002,12.611 (+2.609),11.030 (+1.028),6.252 (-3.750),8.273 (-1.729),8.967 (-1.035)
Stationary,STOI,0.770,0.744 (-0.026),0.719 (-0.050),0.656 (-0.113),0.679 (-0.091),0.694 (-0.076)
Stationary,DNSMOS_mos_ovr,2.842,3.188 (+0.346),3.370 (+0.528),2.418 (-0.424),2.996 (+0.154),2.522 (-0.320)
Street,PESQ,1.289,1.587 (+0.298),1.404 (+0.115),1.440 (+0.152),1.634 (+0.345),1.560 (+0.271)
Street,SI_SDR,10.003,11.440 (+1.437),10.772 (+0.770),8.989 (-1.014),11.205 (+1.202),11.147 (+1.144)
Street,STOI,0.771,0.737 (-0.034),0.722 (-0.048),0.712 (-0.058),0.736 (-0.034),0.730 (-0.040)
Street,DNSMOS_mos_ovr,2.832,2.436 (-0.396),2.564 (-0.268),2.335 (-0.497),2.724 (-0.108),2.542 (-0.290)
Train,PESQ,1.481,1.776 (+0.295),1.703 (+0.223),1.785 (+0.305),1.837 (+0.356),1.754 (+0.274)
Train,SI_SDR,9.998,11.608 (+1.610),11.143 (+1.145),10.497 (+0.499),11.698 (+1.700),12.108 (+2.110)
Train,STOI,0.739,0.728 (-0.011),0.720 (-0.019),0.712 (-0.027),0.736 (-0.003),0.729 (-0.010)
Train,DNSMOS_mos_ovr,2.566,3.028 (+0.462),3.063 (+0.496),2.955 (+0.389),3.443 (+0.877),3.339 (+0.773)
