clean_file,enhanced_file,sampling_rate,PESQ_Noisy,SI_SDR_Noisy,STOI_Noisy,DNSMOS_p808_mos_Noisy,DNSMOS_mos_sig_Noisy,DNSMOS_mos_bak_Noisy,DNSMOS_mos_ovr_Noisy,source_file,enhanced_file_GTCRN,sampling_rate_GTCRN,PESQ_GTCRN,SI_SDR_GTCRN,STOI_GTCRN,DNSMOS_p808_mos_GTCRN,DNSMOS_mos_sig_GTCRN,DNSMOS_mos_bak_GTCRN,DNSMOS_mos_ovr_GTCRN,source_file_GTCRN,enhanced_file_GTCRN_WF,sampling_rate_GTCRN_WF,PESQ_GTCRN_WF,SI_SDR_GTCRN_WF,STOI_GTCRN_WF,DNSMOS_p808_mos_GTCRN_WF,DNSMOS_mos_sig_GTCRN_WF,DNSMOS_mos_bak_GTCRN_WF,DNSMOS_mos_ovr_GTCRN_WF,source_file_GTCRN_WF,enhanced_file_mband_py_log_avr1_future_frames,sampling_rate_mband_py_log_avr1_future_frames,PESQ_mband_py_log_avr1_future_frames,SI_SDR_mband_py_log_avr1_future_frames,STOI_mband_py_log_avr1_future_frames,DNSMOS_p808_mos_mband_py_log_avr1_future_frames,DNSMOS_mos_sig_mband_py_log_avr1_future_frames,DNSMOS_mos_bak_mband_py_log_avr1_future_frames,DNSMOS_mos_ovr_mband_py_log_avr1_future_frames,source_file_mband_py_log_avr1_future_frames,enhanced_file_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,sampling_rate_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,PESQ_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,SI_SDR_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,STOI_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,DNSMOS_p808_mos_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,DNSMOS_mos_sig_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,DNSMOS_mos_bak_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,DNSMOS_mos_ovr_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,source_file_mband_py_log_optimized_N8_20ms_ov50_fl0p001_noisefr1,noise_category
p092_emo_confusion_sentences,BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB,16000,2.166724443435669,14.99530029296875,0.5553584694862366,3.020897626876831,3.758494894315275,2.895932734858884,2.8392521347649224,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv,GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[15]dB,16000,2.829962730407715,20.25029945373535,0.6117374897003174,3.2907581329345703,3.5096706197866627,4.188699148583941,3.142126698780032,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_confusion_sentences_Noise Recordings_Inside Train_1_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv,GTCRNWF_25ms_quality_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB.wav,16000,2.9473876953125,16.92487335205078,0.6161865592002869,3.4599225521087646,3.653371764784058,4.543828738904383,3.4470880366831924,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB,16000,2.737907648086548,14.517083168029783,0.5888902544975281,2.8890342712402344,4.165561285865587,4.429748889647883,3.855706104183755,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv,mband_py_N8_log_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB,16000,2.6565017700195312,15.1551513671875,0.5587454438209534,3.046499252319336,3.764719040765709,4.117197704151653,3.3660098331892803,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_confusion_sentences_NOIZEUS_NOISE_DATASET_Inside Flight_SNR[15]dB_CLN-p092_emo_confusion_sentences.csv,Flight
p092_emo_contentment_freeform,BASELINE_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB,16000,1.6118969917297363,14.998607635498049,0.850761353969574,3.186445883342198,3.9291170741231056,2.8480977422867872,2.8010241205895654,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv,GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[15]dB,16000,2.7114686965942383,18.5719051361084,0.8854430913925171,3.9516761302948,4.063515578791877,4.2425050934762565,3.653089639553396,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_freeform_Noise Recordings_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv,GTCRNWF_25ms_quality_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB.wav,16000,2.4273681640625,13.765140533447266,0.8630369305610657,3.920448269162859,4.150834411387318,3.935319305432568,3.570023803961212,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB,16000,1.6924121379852295,12.0508394241333,0.855189323425293,3.053495918001448,4.145708212204328,3.3047770331128747,3.16589814597476,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv,mband_py_N8_log_AVR1_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB,16000,1.8460581302642824,12.859773635864258,0.8498256206512451,3.1936028684888567,4.0831020802733775,3.299850455692847,3.1834930187681025,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_contentment_freeform_NOIZEUS_NOISE_DATASET_Inside Train_1_SNR[15]dB_CLN-p092_emo_contentment_freeform.csv,Train
p092_emo_contentment_sentences,BASELINE_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB,16000,1.91922926902771,14.995361328125,0.8223432302474976,2.989617109298706,3.7201782839987128,2.700106017181745,2.633620565529766,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv,GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[15]dB,16000,2.4044034481048584,19.47483253479004,0.859295666217804,3.661182403564453,3.938433535770137,4.02213105253659,3.419393207504669,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_contentment_sentences_Noise Recordings_Inside Train_3_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv,GTCRNWF_25ms_quality_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB.wav,16000,2.554579019546509,15.27845573425293,0.8314242362976074,3.792643785476685,3.7282442254052617,4.398405671074617,3.383718425727443,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB,16000,2.431201696395874,13.15172290802002,0.8165664076805115,3.366457462310791,3.66793264374496,3.612255061749004,2.962658180055309,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv,mband_py_N8_log_AVR1_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB,16000,2.449394702911377,10.727487564086914,0.803943395614624,3.359891653060913,3.836335694176685,3.4526082532266265,3.0722574118361003,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_contentment_sentences_NOIZEUS_NOISE_DATASET_Inside Train_2_SNR[15]dB_CLN-p092_emo_contentment_sentences.csv,Train
p092_emo_cuteness_freeform,BASELINE_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB,16000,1.4237099885940552,14.986577987670898,0.7157115936279297,2.6657097339630127,3.760087042974115,2.0377174329424297,2.3469513876004,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[15]dB,16000,2.0889713764190674,16.091581344604492,0.7189757823944092,2.6703864097595216,3.99205974463755,4.130091108623906,3.4766702268841243,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_freeform_Noise Recordings_PC Fan Noise_SNR[15]dB_CLN-p092_emo_cuteness_freeform.csv,GTCRNWF_25ms_quality_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB.wav,16000,1.969534397125244,14.630328178405762,0.6631106734275818,2.577507495880127,3.4823595273664862,3.610567117363885,2.929651726177923,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB_CLN-p092_emo_cuteness_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB,16000,1.9679951667785645,16.64071273803711,0.7122580409049988,2.546348714828491,3.780613224095136,2.607544304086371,2.606978077900826,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB_CLN-p092_emo_cuteness_freeform.csv,mband_py_N8_log_AVR1_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB,16000,1.954566478729248,16.815645217895508,0.7190679311752319,2.741411066055298,3.647399535736653,2.393974397523047,2.493129062749145,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_cuteness_freeform_NOIZEUS_NOISE_DATASET_Inside Train_3_SNR[15]dB_CLN-p092_emo_cuteness_freeform.csv,Train
p092_emo_cuteness_sentences,BASELINE_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB,16000,1.583691954612732,15.000551223754885,0.7812941074371338,2.763999581336975,4.167171450775175,2.4058314614232623,2.76866143017955,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[15]dB,16000,2.1249866485595703,17.63971519470215,0.7396847605705261,2.732666492462158,3.885139082391128,3.4227497326627816,3.095713968447409,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_cuteness_sentences_Noise Recordings_SSN_IEEE_SNR[15]dB_CLN-p092_emo_cuteness_sentences.csv,GTCRNWF_25ms_quality_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB.wav,16000,2.553086042404175,18.88169288635254,0.7630683779716492,2.681658744812012,4.206450510824912,3.631336106962573,3.4601774883292267,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB_CLN-p092_emo_cuteness_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB,16000,2.282914400100708,14.964674949645996,0.7785125970840454,2.8217586278915405,4.282547691402682,2.7515910147188154,3.0206134028643605,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB_CLN-p092_emo_cuteness_sentences.csv,mband_py_N8_log_AVR1_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB,16000,2.424222946166992,16.619421005249023,0.790654718875885,2.8395310640335083,4.283649667835951,2.957221279400378,3.1151314053913977,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_cuteness_sentences_NOIZEUS_NOISE_DATASET_PC Fan Noise_SNR[15]dB_CLN-p092_emo_cuteness_sentences.csv,Stationary
p092_emo_desire_freeform,BASELINE_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB,16000,1.4590659141540527,14.998567581176758,0.8472295999526978,3.08150053024292,4.007888335649656,2.568912764513015,2.772774700935873,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB_CLN-p092_emo_desire_freeform.csv,GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[15]dB,16000,2.115050792694092,17.75682830810547,0.8726837635040283,3.411735733350118,3.691828309461526,3.8347912010164777,3.125943215503217,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_freeform_Noise Recordings_Street Noise_SNR[15]dB_CLN-p092_emo_desire_freeform.csv,GTCRNWF_25ms_quality_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB.wav,16000,1.9934765100479128,15.857319831848145,0.8706190586090088,3.4046061833699546,3.782406999621168,3.8975329789912734,3.250303351906993,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB_CLN-p092_emo_desire_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB,16000,2.0075507164001465,11.12869644165039,0.8292393684387207,2.961906909942627,3.676688692357644,2.756229217708096,2.590331551572498,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB_CLN-p092_emo_desire_freeform.csv,mband_py_N8_log_AVR1_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB,16000,2.1648380756378174,14.230445861816406,0.8658812046051025,3.2461716334025064,3.3365351875480536,2.92885911458735,2.5124615000202755,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_desire_freeform_NOIZEUS_NOISE_DATASET_SSN_IEEE_SNR[15]dB_CLN-p092_emo_desire_freeform.csv,Stationary
p092_emo_desire_sentences,BASELINE_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB,16000,1.6906306743621826,15.001672744750977,0.804117739200592,3.086693525314331,3.995655217678213,2.92826857841669,2.878012307380088,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB_CLN-p092_emo_desire_sentences.csv,GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[15]dB,16000,2.4400634765625,19.52866172790528,0.8299301862716675,3.5853532950083413,4.17797039140126,3.2991438005442384,3.3021117465710894,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_desire_sentences_Noise Recordings_Street Noise_downtown_SNR[15]dB_CLN-p092_emo_desire_sentences.csv,GTCRNWF_25ms_quality_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB.wav,16000,2.1541669368743896,14.037334442138672,0.8130128979682922,3.6815785566965737,4.133689392853878,3.3921100288770885,3.318078208212968,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB_CLN-p092_emo_desire_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB,16000,2.301950454711914,12.218703269958496,0.8041750192642212,3.466460386912028,3.8893976304070392,3.321044369964335,3.04198989776487,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB_CLN-p092_emo_desire_sentences.csv,mband_py_N8_log_AVR1_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB,16000,2.2818310260772705,15.21493148803711,0.7988062500953674,3.042112191518148,4.214810563495611,2.7584059219618333,3.000314577763804,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_desire_sentences_NOIZEUS_NOISE_DATASET_Street Noise_SNR[15]dB_CLN-p092_emo_desire_sentences.csv,Street
p092_emo_disappointment_freeform,BASELINE_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB,16000,1.7090764045715332,14.999765396118164,0.8607499599456787,3.030472823551723,4.461859639786782,2.8093575718503234,3.182732566349735,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[15]dB,16000,2.246105670928955,16.422996520996094,0.8763411045074463,3.8585032735552094,4.386460699546621,4.238074287987183,3.916817599168765,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_freeform_Noise Recordings_Train1_SNR[15]dB_CLN-p092_emo_disappointment_freeform.csv,GTCRNWF_25ms_quality_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB.wav,16000,2.129289388656616,15.489849090576172,0.8490588665008545,3.764624629701887,4.246211727077815,4.156118113180441,3.7575131740795937,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB_CLN-p092_emo_disappointment_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB,16000,2.168174266815185,14.713661193847656,0.8592695593833923,2.627113342285156,4.284078129055527,3.0766872683243967,3.231491807703598,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB_CLN-p092_emo_disappointment_freeform.csv,mband_py_N8_log_AVR1_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB,16000,2.246210813522339,15.328726768493652,0.85654217004776,3.109197344098772,4.381507178464022,2.986229726738048,3.25626354332243,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_disappointment_freeform_NOIZEUS_NOISE_DATASET_Street Noise_downtown_SNR[15]dB_CLN-p092_emo_disappointment_freeform.csv,Street
p092_emo_disappointment_sentences,BASELINE_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB,16000,1.6810927391052246,15.003969192504885,0.7785725593566895,3.165635406970978,4.276771837410685,3.0091926492144867,3.159946573333008,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[15]dB,16000,2.010740280151367,19.49201202392578,0.7854069471359253,3.603710114955902,4.4600430888099165,4.393692065121403,4.081753384067214,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disappointment_sentences_Noise Recordings_Train2_SNR[15]dB_CLN-p092_emo_disappointment_sentences.csv,GTCRNWF_25ms_quality_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB.wav,16000,1.957212924957276,15.512451171875,0.7786479592323303,3.879481554031372,4.411476330835345,4.569242372181003,4.100294400155807,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB_CLN-p092_emo_disappointment_sentences.csv,mband_py_N6_log_AVR1_8_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB,16000,2.121678352355957,12.625617027282717,0.7802502512931824,3.02934467792511,4.402639678643168,3.606117750918784,3.5766963083664374,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB_CLN-p092_emo_disappointment_sentences.csv,mband_py_N8_log_AVR1_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB,16000,2.0686919689178467,11.85557460784912,0.768580436706543,3.12298184633255,4.239536673800332,3.477563773942924,3.4318410952790703,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_disappointment_sentences_NOIZEUS_NOISE_DATASET_Train1_SNR[15]dB_CLN-p092_emo_disappointment_sentences.csv,Train
p092_emo_disgust_freeform,BASELINE_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB,16000,1.5136545896530151,15.003352165222168,0.9007716774940492,2.801066602979388,4.144371056427543,1.8327672274773903,2.312298223045636,BASELINE_NOIZEUS_EARS_metrics.csv_ENH-BASELINE_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB_CLN-p092_emo_disgust_freeform.csv,GTCRN_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[15]dB,16000,2.572963237762451,19.208946228027344,0.921250343322754,3.5620296682630266,4.14631213098563,2.982709677706621,3.1025112564435378,GTCRN_NOIZEUS_EARS_metrics.csv_ENH-GTCRN_p092_emo_disgust_freeform_Noise Recordings_Water Cooler_SNR[15]dB_CLN-p092_emo_disgust_freeform.csv,GTCRNWF_25ms_quality_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB.wav,16000,2.254100561141968,17.031047821044922,0.9115777015686036,3.428179127829416,4.202207398953982,4.066102907192971,3.695498561839365,GTCRNWF_EXP3p2a_25ms_quality_data_ENH-GTCRNWF_25ms_quality_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB_CLN-p092_emo_disgust_freeform.csv,mband_py_N6_log_AVR1_8_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB,16000,1.8232104778289795,12.00613498687744,0.8925409913063049,3.1475332464490617,4.1982089020333,2.3609223871811267,2.7726384227017995,mband_py_N6_log_AVR1_8_metrics.csv_ENH-mband_py_N6_log_AVR1_8_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB_CLN-p092_emo_disgust_freeform.csv,mband_py_N8_log_AVR1_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB,16000,1.7016518115997314,13.24685287475586,0.8829829692840576,2.624143975121634,3.711025693497023,1.893886558524383,2.164734019421118,mband_py_N8_log_AVR1_metrics.csv_ENH-mband_py_N8_log_AVR1_p092_emo_disgust_freeform_NOIZEUS_NOISE_DATASET_Train2_SNR[15]dB_CLN-p092_emo_disgust_freeform.csv,Train
