Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_mel_N4_F25_O75_FL0p7,Stationary,mel,4,25,75,2.0694892406463623,0.8162807822227478,11.663410186767578,3.3618498045743896,0.6650893151760101
mband_linear_N4_F25_O75_FL0p7,Stationary,linear,4,25,75,2.0690574645996094,0.816299319267273,11.663695335388184,3.3563531074585105,0.6650554060935974
mband_mel_N4_F8_O50_FL0p5,Stationary,mel,4,8,50,2.088085651397705,0.8020349740982056,11.657185554504396,3.4515154057678608,0.6598260521888732
mband_linear_N4_F8_O50_FL0p5,Stationary,linear,4,8,50,2.0879383087158203,0.8020261526107788,11.657544136047363,3.4546805980759565,0.6598069071769714
mband_log_N8_F25_O75_FL0p7,Stationary,log,8,25,75,2.081885814666748,0.8000568151473999,11.58049774169922,3.694921172758125,0.6582169890403747
mband_mel_N8_F8_O75_FL0p8,Stationary,mel,8,8,75,2.021205425262451,0.8094766736030579,11.836130142211914,3.687568399231305,0.6568588793277741
mband_linear_N8_F8_O75_FL0p8,Stationary,linear,8,8,75,2.0210039615631104,0.8094901442527771,11.836298942565918,3.685644551938061,0.6568454682826996
mband_log_N8_F20_O50_FL0p8,Stationary,log,8,20,50,1.9947757720947263,0.8120092153549194,11.262202262878418,3.8508280853198302,0.6554821848869323
mband_linear_N8_F25_O75_FL0p3,Stationary,linear,8,25,75,2.0543112754821777,0.7943297028541565,11.520198822021484,3.490432285253391,0.652595978975296
mband_mel_N8_F25_O75_FL0p3,Stationary,mel,8,25,75,2.0535566806793213,0.7944296002388,11.520055770874023,3.4825520278828663,0.6525704681873321
