Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_ovr
mband_mel_N8_F20_O25_FL0p001,Stationary,mel,8,20,25,1.6781611442565918,0.7768515944480896,9.65540599822998,4.214663804750469,4.214663804750469
mband_linear_N8_F20_O25_FL0p001,Stationary,linear,8,20,25,1.680446982383728,0.7768224477767944,9.657541275024414,4.189954283587999,4.189954283587999
mband_linear_N4_F20_O25_FL0p5,Stationary,linear,4,20,25,1.7731819152832031,0.7826694846153259,9.75564956665039,4.1581536371112415,4.1581536371112415
mband_mel_N4_F20_O25_FL0p5,Stationary,mel,4,20,25,1.7732475996017456,0.7827136516571045,9.755483627319336,4.157070841727135,4.157070841727135
mband_mel_N16_F25_O25_FL0p001,Stationary,mel,16,25,25,1.7564396858215332,0.7828812599182129,8.944876670837402,4.141801386517206,4.141801386517206
mband_log_N16_F25_O50_FL0p001,Stationary,log,16,25,50,1.8722786903381348,0.7853178381919861,10.690970420837402,4.117242483499386,4.117242483499386
mband_mel_N8_F20_O50_FL0p8,Stationary,mel,8,20,50,1.956950306892395,0.791987419128418,11.099536895751951,4.116820488238134,4.116820488238134
mband_linear_N16_F25_O25_FL0p001,Stationary,linear,16,25,25,1.7582721710205078,0.7823953628540039,8.945551872253418,4.111649846872812,4.111649846872812
mband_log_N8_F20_O25_FL0p3,Stationary,log,8,20,25,1.8422753810882568,0.7878144979476929,9.622509002685549,4.108511680407205,4.108511680407205
mband_linear_N4_F25_O25_FL0p5,Stationary,linear,4,25,25,1.74147367477417,0.7781171798706055,8.99131965637207,4.107096553433521,4.107096553433521
