Metric,Baseline_Noisy,GTCRN_baseline_Value,GTCRN_baseline_Change,GTCRN_baseline_%,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_Value,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_Change,SS_GTCRN_n4_ov75_fr8_fl08_v0_lin_%,"WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_Value","WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_Change","WF_GTCRN_fr25_mu0.98_a_dd0.98_eta0.15,_%"
PESQ,1.3990,1.7413,+0.3423,+24.47%,1.7425,+0.3435,+24.55%,1.6795,+0.2805,+20.05%
SI_SDR,9.9993,11.4720,+1.4727,+14.73%,11.2791,+1.2798,+12.80%,11.4015,+1.4022,+14.02%
STOI,0.7459,0.7258,-0.0201,-2.69%,0.7249,-0.0210,-2.82%,0.7232,-0.0227,-3.04%
DNSMOS_p808_mos,2.8632,3.2097,+0.3465,+12.10%,3.2079,+0.3447,+12.04%,3.2286,+0.3654,+12.76%
DNSMOS_mos_sig,4.0710,3.5316,-0.5394,-13.25%,3.5967,-0.4743,-11.65%,3.5894,-0.4816,-11.83%
DNSMOS_mos_bak,2.4300,3.5685,+1.1385,+46.85%,3.7765,+1.3465,+55.41%,3.7052,+1.2752,+52.48%
DNSMOS_mos_ovr,2.7256,2.9533,+0.2277,+8.35%,3.0958,+0.3702,+13.58%,3.0729,+0.3473,+12.74%
