Metric,Baseline_Noisy,Wiener_Filter,Spectral_Subtraction,GTCRN_baseline
PESQ,1.3493,1.3048,1.2942,1.6794
SI_SDR,9.9977,8.1524,7.4205,11.1352
STOI,0.7695,0.7059,0.711,0.745
DNSMOS_p808_mos,2.9154,2.6595,2.7375,3.244
DNSMOS_mos_sig,4.0419,2.964,3.3666,3.5443
DNSMOS_mos_bak,2.2972,2.2496,2.3319,3.6459
DNSMOS_mos_ovr,2.6121,2.0209,2.2742,2.996
