Noise_Category,Metric,Baseline_Noisy,Wiener_Filter,Spectral_Subtraction,GTCRN_baseline
Babble/SSN,PESQ,1.372,1.536 (+0.164),1.459 (+0.087),2.063 (+0.691)
Babble/SSN,SI_SDR,9.995,11.117 (+1.122),9.157 (-0.837),14.562 (+4.568)
Babble/SSN,STOI,0.702,0.720 (+0.018),0.725 (+0.022),0.753 (+0.051)
Babble/SSN,DNSMOS_mos_ovr,2.843,2.385 (-0.458),2.706 (-0.138),3.297 (+0.454)
Car,PESQ,1.334,1.291 (-0.044),1.318 (-0.016),1.622 (+0.288)
Car,SI_SDR,9.996,8.918 (-1.078),7.955 (-2.040),12.026 (+2.030)
Car,STOI,0.827,0.738 (-0.090),0.749 (-0.078),0.778 (-0.049)
Car,DNSMOS_mos_ovr,2.785,2.049 (-0.736),2.307 (-0.479),2.897 (+0.112)
Construction,PESQ,1.239,1.188 (-0.051),1.176 (-0.063),1.556 (+0.317)
Construction,SI_SDR,9.995,7.525 (-2.470),6.749 (-3.247),9.696 (-0.299)
Construction,STOI,0.792,0.727 (-0.065),0.730 (-0.061),0.770 (-0.021)
Construction,DNSMOS_mos_ovr,2.236,1.723 (-0.512),1.998 (-0.237),2.814 (+0.579)
Stationary,PESQ,1.354,1.276 (-0.078),1.263 (-0.091),1.485 (+0.131)
Stationary,SI_SDR,10.002,7.519 (-2.483),7.147 (-2.855),8.532 (-1.470)
Stationary,STOI,0.770,0.694 (-0.076),0.690 (-0.080),0.681 (-0.088)
Stationary,DNSMOS_mos_ovr,2.842,1.997 (-0.845),2.132 (-0.710),2.912 (+0.070)
Street,PESQ,1.289,1.346 (+0.057),1.308 (+0.019),1.613 (+0.325)
Street,SI_SDR,10.003,8.922 (-1.080),7.909 (-2.094),11.482 (+1.479)
Street,STOI,0.771,0.680 (-0.091),0.689 (-0.082),0.737 (-0.033)
Street,DNSMOS_mos_ovr,2.832,1.774 (-1.058),2.205 (-0.627),2.593 (-0.239)
Train,PESQ,1.481,1.339 (-0.142),1.346 (-0.135),1.827 (+0.346)
Train,SI_SDR,9.998,7.207 (-2.791),7.045 (-2.953),12.092 (+2.094)
Train,STOI,0.739,0.678 (-0.061),0.685 (-0.055),0.738 (-0.001)
Train,DNSMOS_mos_ovr,2.566,2.269 (-0.297),2.471 (-0.095),3.328 (+0.762)
