Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N16_F20_O25_FL0p001,linear,16,20,25,0.001,1,0.5676,0.5562,0.5619,1.572,0.7167,7.1518,2.7808
mband_linear_N16_F20_O25_FL0p02,linear,16,20,25,0.02,1,0.5615,0.5547,0.5581,1.5423,0.7141,6.8598,2.7734
mband_linear_N16_F20_O25_FL0p2,linear,16,20,25,0.2,1,0.5503,0.5854,0.5678,1.4365,0.7239,6.1895,2.9268
mband_linear_N16_F20_O50_FL0p001,linear,16,20,50,0.001,1,0.5898,0.5672,0.5785,1.6886,0.723,8.2622,2.8361
mband_linear_N16_F20_O50_FL0p02,linear,16,20,50,0.02,1,0.5874,0.5593,0.5734,1.6471,0.724,8.2654,2.7965
mband_linear_N16_F20_O50_FL0p2,linear,16,20,50,0.2,1,0.5683,0.5884,0.5784,1.4998,0.7267,7.3507,2.9422
mband_linear_N16_F20_O75_FL0p001,linear,16,20,75,0.001,1,0.595,0.5149,0.555,1.6999,0.7205,8.7394,2.5744
mband_linear_N16_F20_O75_FL0p02,linear,16,20,75,0.02,1,0.5911,0.5237,0.5574,1.6444,0.7213,8.6975,2.6186
mband_linear_N16_F20_O75_FL0p2,linear,16,20,75,0.2,1,0.5767,0.5582,0.5674,1.508,0.73,7.9537,2.791
mband_linear_N16_F25_O25_FL0p001,linear,16,25,25,0.001,1,0.5581,0.5862,0.5721,1.5183,0.7164,6.6284,2.9308
mband_linear_N16_F25_O25_FL0p02,linear,16,25,25,0.02,1,0.5548,0.5946,0.5747,1.5027,0.7152,6.4622,2.9729
mband_linear_N16_F25_O25_FL0p2,linear,16,25,25,0.2,1,0.5404,0.5944,0.5674,1.3874,0.7222,5.6498,2.9721
mband_linear_N16_F25_O50_FL0p001,linear,16,25,50,0.001,1,0.5842,0.5762,0.5802,1.6585,0.7194,8.0454,2.8809
mband_linear_N16_F25_O50_FL0p02,linear,16,25,50,0.02,1,0.5841,0.5794,0.5818,1.629,0.7239,8.0812,2.8972
mband_linear_N16_F25_O50_FL0p2,linear,16,25,50,0.2,1,0.5644,0.5925,0.5785,1.4849,0.7285,7.0281,2.9626
mband_linear_N16_F25_O75_FL0p001,linear,16,25,75,0.001,1,0.5955,0.5384,0.5669,1.6826,0.7236,8.7893,2.6921
