Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N4_F8_O75_FL0p8,log,4,8,75,1.5690979957580566,0.7428799271583557,10.502610206604004,2.555578272911915,0.5783497631549835
mband_log_N16_F8_O25_FL0p7,log,16,8,25,1.5630916357040403,0.7438469529151917,10.12758731842041,2.978975555970893,0.5782326400279999
mband_log_N16_F8_O25_FL0p8,log,16,8,25,1.5373845100402832,0.743030309677124,10.226431846618652,3.3301722655661425,0.5752536058425903
mband_log_N8_F20_O75_FL0p7,log,8,20,75,1.6074562072753906,0.7251030802726746,10.285486221313477,2.568647932607639,0.5732971608638764
mband_mel_N4_F20_O75_FL0p001,mel,4,20,75,1.5251786708831787,0.7415403723716736,9.353492736816406,2.720820579394837,0.5732880532741547
