Config_ID,Noise_Category,Freq_spacing,Nband,FRMSZ_ms,OVLP,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,Weighted_Score
mband_log_N16_F8_O75_FL0p001,Stationary,log,16,8,75,2.4583740234375,0.8480998873710632,13.570350646972656,3.790435411112908,0.7198873460292816
mband_log_N16_F20_O75_FL0p7,Stationary,log,16,20,75,2.510319232940674,0.8309000134468079,13.91344165802002,3.9684847485173447,0.7164819300174713
mband_mel_N8_F8_O75_FL0p7,Stationary,mel,8,8,75,2.503443479537964,0.8313145637512207,14.000014305114746,3.83033800349924,0.7160016298294067
mband_linear_N8_F8_O75_FL0p7,Stationary,linear,8,8,75,2.5032799243927,0.8312576413154602,14.000287055969238,3.822048685762665,0.7159568130970001
mband_log_N8_F8_O75_FL0p3,Stationary,log,8,8,75,2.471538782119751,0.836357057094574,13.604665756225586,3.600574647709114,0.7153324067592621
mband_mel_N8_F20_O75_FL0p3,Stationary,mel,8,20,75,2.472218990325928,0.8349636197090149,13.527191162109377,3.860505214206559,0.7147037088871002
mband_linear_N8_F20_O75_FL0p3,Stationary,linear,8,20,75,2.473114490509033,0.8344756364822388,13.527461051940918,3.857779956321196,0.7145492672920227
mband_log_N4_F25_O75_FL0p7,Stationary,log,4,25,75,2.4685864448547363,0.8332626223564148,13.562888145446776,3.559398424406744,0.713489955663681
mband_log_N4_F8_O50_FL0p7,Stationary,log,4,8,50,2.441741704940796,0.8377729654312134,13.820290565490724,3.832007651865156,0.7130606532096863
mband_mel_N8_F20_O75_FL0p8,Stationary,mel,8,20,75,2.471376895904541,0.831515908241272,13.536520957946776,3.910656516584748,0.71289564371109
