SNR_dB,Best_Config,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI-SDR_Score,PESQ,STOI,SI_SDR,DNSMOS
-5,mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,4.87662256360054,1.3248553991317749,0.6265029311180115,4.87662256360054,2.0651769233200037
0,mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,9.03193941116333,1.5113495111465454,0.7033193349838257,9.03193941116333,2.8796200369686082
5,mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,12.644142723083496,1.8333376884460448,0.7637914776802063,12.644142723083496,3.304681865476875
10,mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,15.923924446105957,2.249400806427002,0.8101624488830567,15.923924446105957,3.7113473389840763
15,mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,19.1726806640625,2.551113414764404,0.8396316289901733,19.1726806640625,3.7316079362863066
