Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_linear_N4_F20_O25_FL0p8,linear,4,20,25,0.8,1,9.1191,1.7118,0.7401,3.4771
mband_linear_N4_F20_O50_FL0p001,linear,4,20,50,0.001,1,10.143,1.7963,0.7356,3.4293
mband_linear_N4_F20_O50_FL0p3,linear,4,20,50,0.3,1,10.489,1.8315,0.7435,3.498
mband_linear_N4_F20_O50_FL0p5,linear,4,20,50,0.5,1,10.6131,1.8567,0.7392,3.4027
mband_linear_N4_F20_O50_FL0p7,linear,4,20,50,0.7,1,10.8345,1.8745,0.7499,3.4076
mband_linear_N4_F20_O50_FL0p8,linear,4,20,50,0.8,1,10.6051,1.8494,0.7452,3.4517
mband_linear_N4_F20_O75_FL0p001,linear,4,20,75,0.001,1,10.8731,1.8511,0.7456,3.1269
mband_linear_N4_F20_O75_FL0p3,linear,4,20,75,0.3,1,11.5853,1.8929,0.7505,3.2231
mband_linear_N4_F20_O75_FL0p5,linear,4,20,75,0.5,1,11.6282,1.8981,0.7519,3.2361
mband_linear_N4_F20_O75_FL0p7,linear,4,20,75,0.7,1,11.9557,1.9028,0.7485,3.2562
mband_linear_N4_F20_O75_FL0p8,linear,4,20,75,0.8,1,11.6947,1.8981,0.7505,3.2245
mband_linear_N4_F25_O25_FL0p001,linear,4,25,25,0.001,1,7.9259,1.5961,0.7283,3.3931
mband_linear_N4_F25_O25_FL0p3,linear,4,25,25,0.3,1,8.1569,1.624,0.7312,3.5011
mband_linear_N4_F25_O25_FL0p5,linear,4,25,25,0.5,1,8.3298,1.6345,0.7344,3.5178
mband_linear_N4_F25_O25_FL0p7,linear,4,25,25,0.7,1,8.4113,1.6474,0.7337,3.4998
mband_linear_N4_F25_O25_FL0p8,linear,4,25,25,0.8,1,8.4081,1.657,0.7334,3.5003
mband_linear_N4_F25_O50_FL0p001,linear,4,25,50,0.001,1,9.7375,1.7654,0.7338,3.4305
mband_linear_N4_F25_O50_FL0p3,linear,4,25,50,0.3,1,9.9505,1.7848,0.7387,3.4493
mband_linear_N4_F25_O50_FL0p5,linear,4,25,50,0.5,1,10.1876,1.8115,0.7395,3.4214
mband_linear_N4_F25_O50_FL0p7,linear,4,25,50,0.7,1,10.1453,1.8099,0.7451,3.4135
mband_linear_N4_F25_O50_FL0p8,linear,4,25,50,0.8,1,10.3398,1.808,0.7439,3.4086
mband_linear_N4_F25_O75_FL0p001,linear,4,25,75,0.001,1,10.848,1.8418,0.7353,3.1761
mband_linear_N4_F25_O75_FL0p3,linear,4,25,75,0.3,1,11.272,1.8654,0.7457,3.2474
mband_linear_N4_F25_O75_FL0p5,linear,4,25,75,0.5,1,11.5055,1.8622,0.7461,3.2876
mband_linear_N4_F25_O75_FL0p7,linear,4,25,75,0.7,1,11.4584,1.8748,0.7475,3.1782
mband_linear_N4_F25_O75_FL0p8,linear,4,25,75,0.8,1,11.5247,1.8717,0.7489,3.2271
mband_linear_N4_F8_O25_FL0p001,linear,4,8,25,0.001,1,10.1204,1.6518,0.7347,3.2054
mband_linear_N4_F8_O25_FL0p3,linear,4,8,25,0.3,1,10.3853,1.7066,0.7351,3.112
mband_linear_N4_F8_O25_FL0p5,linear,4,8,25,0.5,1,10.6743,1.7245,0.7442,3.1282
mband_linear_N4_F8_O25_FL0p7,linear,4,8,25,0.7,1,10.6163,1.7187,0.7376,3.093
mband_linear_N4_F8_O25_FL0p8,linear,4,8,25,0.8,1,10.7439,1.7222,0.7441,3.1699
mband_linear_N4_F8_O50_FL0p001,linear,4,8,50,0.001,1,10.9915,1.8,0.7311,3.2387
mband_linear_N4_F8_O50_FL0p3,linear,4,8,50,0.3,1,11.2312,1.848,0.7382,3.1585
mband_linear_N4_F8_O50_FL0p5,linear,4,8,50,0.5,1,11.2121,1.842,0.7401,3.1944
mband_linear_N4_F8_O50_FL0p7,linear,4,8,50,0.7,1,11.2778,1.8437,0.7391,3.2094
mband_linear_N4_F8_O50_FL0p8,linear,4,8,50,0.8,1,11.6499,1.8646,0.7419,3.1514
mband_linear_N4_F8_O75_FL0p001,linear,4,8,75,0.001,1,11.3262,1.833,0.7335,3.1525
mband_linear_N4_F8_O75_FL0p3,linear,4,8,75,0.3,1,11.7773,1.8804,0.7441,3.096
mband_linear_N4_F8_O75_FL0p5,linear,4,8,75,0.5,1,11.7181,1.8755,0.7444,3.1911
mband_linear_N4_F8_O75_FL0p7,linear,4,8,75,0.7,1,11.9622,1.8738,0.747,3.1816
mband_linear_N4_F8_O75_FL0p8,linear,4,8,75,0.8,1,11.9333,1.8848,0.7447,3.1471
mband_linear_N8_F20_O25_FL0p001,linear,8,20,25,0.001,1,8.6428,1.6397,0.7276,3.4675
mband_linear_N8_F20_O25_FL0p3,linear,8,20,25,0.3,1,8.9473,1.6835,0.7378,3.467
mband_linear_N8_F20_O25_FL0p5,linear,8,20,25,0.5,1,8.9466,1.6954,0.7398,3.3936
mband_linear_N8_F20_O25_FL0p7,linear,8,20,25,0.7,1,8.9668,1.6967,0.7356,3.3928
mband_linear_N8_F20_O25_FL0p8,linear,8,20,25,0.8,1,9.0373,1.7045,0.7409,3.4279
mband_linear_N8_F20_O50_FL0p001,linear,8,20,50,0.001,1,9.9651,1.803,0.7381,3.3711
mband_linear_N8_F20_O50_FL0p3,linear,8,20,50,0.3,1,10.5949,1.8284,0.7454,3.3914
mband_linear_N8_F20_O50_FL0p5,linear,8,20,50,0.5,1,10.6467,1.8437,0.7407,3.4522
mband_linear_N8_F20_O50_FL0p7,linear,8,20,50,0.7,1,10.63,1.8507,0.7414,3.3838
mband_linear_N8_F20_O50_FL0p8,linear,8,20,50,0.8,1,10.639,1.8489,0.746,3.398
mband_linear_N8_F20_O75_FL0p001,linear,8,20,75,0.001,1,10.9551,1.8451,0.741,3.1291
mband_linear_N8_F20_O75_FL0p3,linear,8,20,75,0.3,1,11.5718,1.8782,0.7468,3.2201
mband_linear_N8_F20_O75_FL0p5,linear,8,20,75,0.5,1,11.7241,1.8881,0.7445,3.1555
