SNR_dB,Parameter,Best_Value,Score
-5,Freq_spacing,log,3.830844609327959
-5,Nband,16,3.8669029024243353
-5,FRMSZ_ms,8,4.005101989901245
-5,OVLP,75,4.087472123624067
-5,Floor,0.5,3.8708887693949365
-5,Noisefr,1,3.823983519480759
0,Freq_spacing,linear,7.908820604041771
0,Nband,4,7.912171914489181
0,FRMSZ_ms,8,8.316022367124205
0,OVLP,75,8.366470637144866
0,Floor,0.8,7.985531055780105
0,Noisefr,1,7.882128745185004
5,Freq_spacing,linear,11.101908439353661
5,Nband,4,11.100798496670194
5,FRMSZ_ms,8,11.743578828882288
5,OVLP,75,11.958899202700014
5,Floor,0.8,11.265698912114273
5,Noisefr,1,11.091821143303388
10,Freq_spacing,linear,13.685176415620028
10,Nband,4,13.65896716506393
10,FRMSZ_ms,8,14.646596302456325
10,OVLP,75,15.107681395919235
10,Floor,0.8,13.978160530843853
10,Noisefr,1,13.64976119571262
15,Freq_spacing,linear,15.725264748467339
15,Nband,8,15.673192073680736
15,FRMSZ_ms,8,17.014029442116065
15,OVLP,75,17.878947317335342
15,Floor,0.8,16.17676872206323
15,Noisefr,1,15.666171649885767
