Metric,SNR_dB,Noisy,mband_py_lin_avr1_future_frames,mband_py_lin_causal_ogw_avr1_xmag,mband_py_lin_causal_avr1_og_wts_xmgasm
PESQ,-5,1.0658,1.1117,1.1085,1.1078
PESQ,0,1.0937,1.2307,1.2153,1.2008
PESQ,5,1.1733,1.421,1.3881,1.4
PESQ,10,1.3446,1.7032,1.6606,1.7005
PESQ,15,1.6468,2.0849,2.0202,2.0929
SI_SDR,-5,-4.9899,0.0649,-0.0777,-0.5691
SI_SDR,0,-0.0263,4.8064,4.5459,4.1603
SI_SDR,5,4.9955,8.4561,8.2108,8.5606
SI_SDR,10,9.9991,11.7408,11.6133,12.2481
SI_SDR,15,14.9989,14.0088,13.9906,14.6066
STOI,-5,0.5866,0.5968,0.5862,0.5829
STOI,0,0.6549,0.6648,0.6566,0.6516
STOI,5,0.7153,0.7238,0.7174,0.7196
STOI,10,0.774,0.78,0.7757,0.7726
STOI,15,0.8137,0.815,0.8114,0.8114
DNSMOS_p808_mos,-5,2.4363,2.5739,2.6428,2.6118
DNSMOS_p808_mos,0,2.5694,2.6779,2.7004,2.6872
DNSMOS_p808_mos,5,2.7331,2.7922,2.8034,2.8474
DNSMOS_p808_mos,10,2.9111,2.9342,2.9803,2.937
DNSMOS_p808_mos,15,3.0481,3.0487,3.1422,3.1253
DNSMOS_mos_sig,-5,3.5517,3.7379,3.3547,3.3133
DNSMOS_mos_sig,0,3.8877,3.6902,3.4682,3.3832
DNSMOS_mos_sig,5,3.9827,3.7077,3.6289,3.5727
DNSMOS_mos_sig,10,4.0784,3.9085,3.9883,3.7701
DNSMOS_mos_sig,15,4.0454,3.9832,4.115,3.97
DNSMOS_mos_bak,-5,1.6733,2.2017,2.0557,2.0027
DNSMOS_mos_bak,0,1.903,2.355,2.2545,2.1988
DNSMOS_mos_bak,5,2.1026,2.5025,2.4781,2.4539
DNSMOS_mos_bak,10,2.3277,2.7236,2.7743,2.6526
DNSMOS_mos_bak,15,2.518,3.0236,3.0944,2.8746
DNSMOS_mos_ovr,-5,1.9706,2.3967,2.1286,2.0741
DNSMOS_mos_ovr,0,2.2631,2.434,2.2713,2.1899
DNSMOS_mos_ovr,5,2.4361,2.5347,2.502,2.4543
DNSMOS_mos_ovr,10,2.6382,2.7638,2.8693,2.6819
DNSMOS_mos_ovr,15,2.7482,2.9809,3.1268,2.9099
