Metric,SNR_dB,Noisy,mband_py_lin_avr1_future_frames,mband_py_lin_causal_avr1_og_wts_xmgasm,mband_py_lin_in_stream_avr1_og_wts_xmagsm
PESQ,-5,1.0658,1.1117,1.1078,1.1109
PESQ,0,1.0937,1.2307,1.2008,1.2175
PESQ,5,1.1733,1.421,1.4,1.3922
PESQ,10,1.3446,1.7032,1.7005,1.6816
PESQ,15,1.6468,2.0849,2.0929,2.0761
SI_SDR,-5,-4.9899,0.0649,-0.5691,0.015
SI_SDR,0,-0.0263,4.8064,4.1603,4.662
SI_SDR,5,4.9955,8.4561,8.5606,8.3557
SI_SDR,10,9.9991,11.7408,12.2481,11.9808
SI_SDR,15,14.9989,14.0088,14.6066,14.5702
STOI,-5,0.5866,0.5968,0.5829,0.5839
STOI,0,0.6549,0.6648,0.6516,0.6557
STOI,5,0.7153,0.7238,0.7196,0.7174
STOI,10,0.774,0.78,0.7726,0.7769
STOI,15,0.8137,0.815,0.8114,0.8133
DNSMOS_p808_mos,-5,2.4363,2.5739,2.6118,2.6149
DNSMOS_p808_mos,0,2.5694,2.6779,2.6872,2.6739
DNSMOS_p808_mos,5,2.7331,2.7922,2.8474,2.7656
DNSMOS_p808_mos,10,2.9111,2.9342,2.937,2.9329
DNSMOS_p808_mos,15,3.0481,3.0487,3.1253,3.1132
DNSMOS_mos_sig,-5,3.5517,3.7379,3.3133,3.2476
DNSMOS_mos_sig,0,3.8877,3.6902,3.3832,3.283
DNSMOS_mos_sig,5,3.9827,3.7077,3.5727,3.4356
DNSMOS_mos_sig,10,4.0784,3.9085,3.7701,3.7778
DNSMOS_mos_sig,15,4.0454,3.9832,3.97,3.9385
DNSMOS_mos_bak,-5,1.6733,2.2017,2.0027,2.0364
DNSMOS_mos_bak,0,1.903,2.355,2.1988,2.2221
DNSMOS_mos_bak,5,2.1026,2.5025,2.4539,2.3956
DNSMOS_mos_bak,10,2.3277,2.7236,2.6526,2.6216
DNSMOS_mos_bak,15,2.518,3.0236,2.8746,2.9488
DNSMOS_mos_ovr,-5,1.9706,2.3967,2.0741,2.0586
DNSMOS_mos_ovr,0,2.2631,2.434,2.1899,2.1593
DNSMOS_mos_ovr,5,2.4361,2.5347,2.4543,2.3499
DNSMOS_mos_ovr,10,2.6382,2.7638,2.6819,2.6571
DNSMOS_mos_ovr,15,2.7482,2.9809,2.9099,2.9377
