config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_log_N8_F25_O75_FL0p8,1.7347209453582764,hybrid,log,8,25,75,1,0.8,1,1
mband_log_N16_F8_O25_FL0p5,1.98079252243042,hybrid,log,16,8,25,1,0.5,1,1
mband_log_N16_F8_O25_FL0p7,1.8650939464569092,hybrid,log,16,8,25,1,0.7,1,1
mband_log_N16_F8_O25_FL0p8,1.8148300647735596,hybrid,log,16,8,25,1,0.8,1,1
mband_log_N16_F8_O50_FL0p5,2.385624408721924,hybrid,log,16,8,50,1,0.5,1,1
mband_log_N16_F8_O50_FL0p7,2.311157703399658,hybrid,log,16,8,50,1,0.7,1,1
mband_log_N16_F8_O50_FL0p8,2.3631956577301025,hybrid,log,16,8,50,1,0.8,1,1
mband_log_N16_F8_O75_FL0p5,3.611074686050415,hybrid,log,16,8,75,1,0.5,1,1
mband_log_N16_F8_O75_FL0p7,3.593094825744629,hybrid,log,16,8,75,1,0.7,1,1
mband_log_N16_F8_O75_FL0p8,3.6457436084747314,hybrid,log,16,8,75,1,0.8,1,1
mband_log_N16_F20_O25_FL0p5,1.3508484363555908,hybrid,log,16,20,25,1,0.5,1,1
mband_log_N16_F20_O25_FL0p7,1.3563497066497803,hybrid,log,16,20,25,1,0.7,1,1
mband_log_N16_F20_O25_FL0p8,1.441309928894043,hybrid,log,16,20,25,1,0.8,1,1
mband_log_N16_F20_O50_FL0p5,1.6108646392822266,hybrid,log,16,20,50,1,0.5,1,1
mband_log_N16_F20_O50_FL0p7,1.631453275680542,hybrid,log,16,20,50,1,0.7,1,1
mband_log_N16_F20_O50_FL0p8,1.564756155014038,hybrid,log,16,20,50,1,0.8,1,1
mband_log_N16_F20_O75_FL0p5,2.1265807151794434,hybrid,log,16,20,75,1,0.5,1,1
mband_log_N16_F20_O75_FL0p7,2.0699946880340576,hybrid,log,16,20,75,1,0.7,1,1
mband_log_N16_F20_O75_FL0p8,2.1982831954956055,hybrid,log,16,20,75,1,0.8,1,1
mband_log_N16_F25_O25_FL0p5,1.2889447212219238,hybrid,log,16,25,25,1,0.5,1,1
mband_log_N16_F25_O25_FL0p7,1.2330982685089111,hybrid,log,16,25,25,1,0.7,1,1
mband_log_N16_F25_O25_FL0p8,1.2959825992584229,hybrid,log,16,25,25,1,0.8,1,1
mband_log_N16_F25_O50_FL0p5,1.5096290111541748,hybrid,log,16,25,50,1,0.5,1,1
mband_log_N16_F25_O50_FL0p7,1.4992012977600098,hybrid,log,16,25,50,1,0.7,1,1
mband_log_N16_F25_O50_FL0p8,1.4964210987091064,hybrid,log,16,25,50,1,0.8,1,1
mband_log_N16_F25_O75_FL0p5,1.9230079650878906,hybrid,log,16,25,75,1,0.5,1,1
mband_log_N16_F25_O75_FL0p7,2.0268614292144775,hybrid,log,16,25,75,1,0.7,1,1
mband_log_N16_F25_O75_FL0p8,2.0326783657073975,hybrid,log,16,25,75,1,0.8,1,1
mband_mel_N4_F8_O25_FL0p5,1.5134141445159912,hybrid,mel,4,8,25,1,0.5,1,1
mband_mel_N4_F8_O25_FL0p7,1.5460448265075684,hybrid,mel,4,8,25,1,0.7,1,1
mband_mel_N4_F8_O25_FL0p8,1.5058610439300537,hybrid,mel,4,8,25,1,0.8,1,1
mband_mel_N4_F8_O50_FL0p5,1.676879644393921,hybrid,mel,4,8,50,1,0.5,1,1
mband_mel_N4_F8_O50_FL0p7,1.697906255722046,hybrid,mel,4,8,50,1,0.7,1,1
mband_mel_N4_F8_O50_FL0p8,1.722139596939087,hybrid,mel,4,8,50,1,0.8,1,1
