Phase,Test_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Averaging,Noisefr,Floor,VAD,Noise_File,Noise_Category,Clean_File,SNR_dB,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr,DNSMOS_mos_sig,DNSMOS_mos_bak,Status
2,P2_log_F0.002_0dB_PC F,log,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.8959619998931885,0.7855553030967712,11.554595947265625,3.3682912070689057,3.6984144139875026,4.467830402127858,Success
2,P2_log_F0.1_0dB_PC F,log,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.8193358182907104,0.7934688925743103,11.279019355773926,3.837246958692746,4.150288524098612,4.57524766592066,Success
2,P2_log_F0.3_0dB_PC F,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.842395544052124,0.778541088104248,11.447893142700195,3.6611049397641593,4.016070299151146,4.475009996289838,Success
2,P2_log_F0.5_0dB_PC F,log,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.0892152786254883,0.7982543706893921,11.660428047180176,3.513288919718422,3.8763604613573115,4.407895578348919,Success
2,P2_log_F0.8_0dB_PC F,log,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.090426445007324,0.7909039258956909,11.7509126663208,3.8723455848659416,4.190295909120127,4.62596029793113,Success
2,P2_linear_F0.002_0dB_PC F,linear,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.941654086112976,0.7770742177963257,11.450817108154297,3.2918405944512537,3.72240070218737,4.214123465779052,Success
2,P2_linear_F0.1_0dB_PC F,linear,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.0818374156951904,0.7853339910507202,11.529656410217285,3.3558735892807667,3.7199518688607456,4.413308458795515,Success
2,P2_linear_F0.3_0dB_PC F,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.9289714097976685,0.7874473929405212,11.692795753479004,3.34120962350878,3.7111771009912418,4.37539962958349,Success
2,P2_linear_F0.5_0dB_PC F,linear,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,1.9015300273895264,0.779983639717102,11.666267395019531,3.670992911829991,4.024880940474644,4.4299935206819665,Success
2,P2_linear_F0.8_0dB_PC F,linear,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,0,2.031306505203247,0.7944704294204712,11.624366760253906,3.666368763508102,3.9956788534009755,4.513021395738264,Success
2,P2_log_F0.002_0dB_Stre,log,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4363670349121094,0.6983379125595093,8.839399337768555,3.032744206811676,3.4261740857402074,4.180931970310917,Success
2,P2_log_F0.1_0dB_Stre,log,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.339756727218628,0.6762415170669556,7.822482109069824,2.412973523330686,2.7066384381830115,3.920638369763105,Success
2,P2_log_F0.3_0dB_Stre,log,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4113632440567017,0.7198379039764404,8.901092529296875,2.8195972738528305,3.304953203905295,3.796892381817913,Success
2,P2_log_F0.5_0dB_Stre,log,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4485667943954468,0.714099645614624,9.015522003173828,2.9914390184509214,3.420910943837845,4.203417764339132,Success
2,P2_log_F0.8_0dB_Stre,log,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4643429517745972,0.706337571144104,8.615819931030273,2.773982222535627,3.3135680069432967,3.6466480289485177,Success
2,P2_linear_F0.002_0dB_Stre,linear,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4129695892333984,0.7051122188568115,8.541152954101562,2.5044537000615574,2.8973874722454305,3.8017977136528867,Success
2,P2_linear_F0.1_0dB_Stre,linear,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.430533766746521,0.6877909302711487,8.774675369262695,2.986059795042748,3.4550076621084873,3.963278063274908,Success
2,P2_linear_F0.3_0dB_Stre,linear,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.4005151987075806,0.7155886888504028,8.879670143127441,2.5487868554716573,3.0043083216134026,3.688474051191373,Success
2,P2_linear_F0.5_0dB_Stre,linear,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.38778817653656,0.7063871026039124,8.400622367858887,2.954845227666852,3.373453985599976,4.030010704079109,Success
2,P2_linear_F0.8_0dB_Stre,linear,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,0,1.3934354782104492,0.7163735032081604,8.143563270568848,2.955512096670835,3.3336739578565795,4.022961190150751,Success
2,P2_log_F0.002_5dB_PC F,log,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.445291519165039,0.8167169690132141,12.594756126403809,3.71833340221339,4.016908697165489,4.586041260057556,Success
2,P2_log_F0.1_5dB_PC F,log,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.5116169452667236,0.8263145089149475,13.416327476501465,3.8385110527752877,4.163018054734131,4.6151336364584425,Success
2,P2_log_F0.3_5dB_PC F,log,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.335669994354248,0.8241080641746521,13.58326530456543,4.079410967125793,4.354756214459008,4.6791109593978994,Success
2,P2_log_F0.5_5dB_PC F,log,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.4648966789245605,0.8250311613082886,13.436275482177734,3.789344183011645,4.0865829434602485,4.548791256151538,Success
2,P2_log_F0.8_5dB_PC F,log,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.5162513256073,0.8314252495765686,13.585677146911621,3.812901842795773,4.141290504328614,4.526801355413313,Success
2,P2_linear_F0.002_5dB_PC F,linear,8,20,75,1,1,0.002,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.32529354095459,0.8160700798034668,13.6591796875,4.03232199430911,4.312638391608665,4.66617082418529,Success
2,P2_linear_F0.1_5dB_PC F,linear,8,20,75,1,1,0.1,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.445892572402954,0.831263542175293,13.040801048278809,3.5024476757628324,3.8257444778439185,4.5207096124420865,Success
2,P2_linear_F0.3_5dB_PC F,linear,8,20,75,1,1,0.3,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.439582347869873,0.8233624696731567,13.297718048095703,4.013127058931166,4.3136024094636705,4.70769310754272,Success
2,P2_linear_F0.5_5dB_PC F,linear,8,20,75,1,1,0.5,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.485175371170044,0.8331820368766785,13.849039077758789,3.8851374614785943,4.184649077626574,4.634244651406862,Success
2,P2_linear_F0.8_5dB_PC F,linear,8,20,75,1,1,0.8,1,PC Fan Noise.wav,Stationary,emo_contentment_sentences.wav,5,2.407822847366333,0.8389795422554016,13.769516944885254,4.172878677465589,4.455630327962617,4.683674430914978,Success
2,P2_log_F0.002_5dB_Stre,log,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.5432581901550293,0.7681044340133667,10.568696975708008,3.206552259830588,3.654997115045218,4.274343557250287,Success
2,P2_log_F0.1_5dB_Stre,log,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.7648848295211792,0.7833282947540283,11.972212791442871,3.3466066653550315,3.7896142159963606,4.21774937829154,Success
2,P2_log_F0.3_5dB_Stre,log,8,20,75,1,1,0.3,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.816560983657837,0.7763175964355469,13.004280090332031,3.225855553395901,3.774284264694752,3.9115238486476507,Success
2,P2_log_F0.5_5dB_Stre,log,8,20,75,1,1,0.5,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.7269392013549805,0.7715333104133606,12.163735389709473,3.8017424826616137,4.198795708463754,4.426481927488369,Success
2,P2_log_F0.8_5dB_Stre,log,8,20,75,1,1,0.8,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.6533057689666748,0.7634407877922058,11.869447708129883,3.7563753854822157,4.164392319338728,4.384028630922243,Success
2,P2_linear_F0.002_5dB_Stre,linear,8,20,75,1,1,0.002,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.699394941329956,0.7694841027259827,11.956442832946777,3.6895707251313974,4.062063805209653,4.490423635607587,Success
2,P2_linear_F0.1_5dB_Stre,linear,8,20,75,1,1,0.1,1,Street Noise_downtown.wav,Street,emo_contentment_sentences.wav,5,1.5649182796478271,0.7607181668281555,11.221712112426758,3.2798363684383705,3.6263620954914986,4.42710695869636,Success
